"focal_rte","migclass","excl_dir","dir_core","dir_diff","n_spp","mig_plot"
2066,"resident",0.576952618403545,0.5958105,0.0188578815964549,72,"Resident (72)"
2066,"short distance",0.588496437260853,0.5958105,0.00731406273914748,78,"Short Distance (78)"
2066,"long distance",0.625110285534942,0.5958105,-0.0292997855349424,123,"Long Distance (123)"
2072,"resident",0.595214291011806,0.5969248,0.00171050898819414,72,"Resident (72)"
2072,"short distance",0.613340610780262,0.5969248,-0.0164158107802617,78,"Short Distance (78)"
2072,"long distance",0.581106257774346,0.5969248,0.0158185422256539,123,"Long Distance (123)"
2140,"resident",0.584379011138218,0.6002347,0.0158556888617817,72,"Resident (72)"
2140,"short distance",0.595693344314994,0.6002347,0.00454135568500569,78,"Short Distance (78)"
2140,"long distance",0.624870471090901,0.6002347,-0.0246357710909008,123,"Long Distance (123)"
2142,"resident",0.575096752696752,0.592927,0.0178302473032477,72,"Resident (72)"
2142,"short distance",0.585101700042621,0.592927,0.00782529995737857,78,"Short Distance (78)"
2142,"long distance",0.62210163107802,0.592927,-0.0291746310780199,123,"Long Distance (123)"
3021,"resident",0.321580965616003,0.3161541,-0.00542686561600325,72,"Resident (72)"
3021,"short distance",0.312858498460664,0.3161541,0.003295601539336,78,"Short Distance (78)"
3021,"long distance",0.312519938489506,0.3161541,0.00363416151049362,123,"Long Distance (123)"
3224,"resident",0.321580965616003,0.3161541,-0.00542686561600325,72,"Resident (72)"
3224,"short distance",0.312858498460664,0.3161541,0.003295601539336,78,"Short Distance (78)"
3224,"long distance",0.312519938489506,0.3161541,0.00363416151049362,123,"Long Distance (123)"
3429,"resident",0.321580965616003,0.3161541,-0.00542686561600325,72,"Resident (72)"
3429,"short distance",0.312858498460664,0.3161541,0.003295601539336,78,"Short Distance (78)"
3429,"long distance",0.312519938489506,0.3161541,0.00363416151049362,123,"Long Distance (123)"
4002,"resident",0.284933148891845,0.296632,0.011698851108155,72,"Resident (72)"
4002,"short distance",0.312527493205734,0.296632,-0.0158954932057343,78,"Short Distance (78)"
4002,"long distance",0.295560888490624,0.296632,0.00107111150937622,123,"Long Distance (123)"
4004,"resident",0.284933148891845,0.296632,0.011698851108155,72,"Resident (72)"
4004,"short distance",0.312527493205734,0.296632,-0.0158954932057343,78,"Short Distance (78)"
4004,"long distance",0.295560888490624,0.296632,0.00107111150937622,123,"Long Distance (123)"
4007,"resident",0.281787763894301,0.2933795,0.0115917361056988,72,"Resident (72)"
4007,"short distance",0.309755934994165,0.2933795,-0.0163764349941649,78,"Short Distance (78)"
4007,"long distance",0.291050365395246,0.2933795,0.00232913460475392,123,"Long Distance (123)"
4010,"resident",0.327192013335435,0.3263174,-0.000874613335434593,72,"Resident (72)"
4010,"short distance",0.324979008545145,0.3263174,0.00133839145485526,78,"Short Distance (78)"
4010,"long distance",0.325484167624446,0.3263174,0.000833232375553883,123,"Long Distance (123)"
4014,"resident",0.281787763894301,0.2933795,0.0115917361056988,72,"Resident (72)"
4014,"short distance",0.309755934994165,0.2933795,-0.0163764349941649,78,"Short Distance (78)"
4014,"long distance",0.291050365395246,0.2933795,0.00232913460475392,123,"Long Distance (123)"
4017,"resident",0.327432182413699,0.3275263,9.41175863012345e-05,72,"Resident (72)"
4017,"short distance",0.326701473660081,0.3275263,0.000824826339918705,78,"Short Distance (78)"
4017,"long distance",0.329740404129806,0.3275263,-0.00221410412980622,123,"Long Distance (123)"
4018,"resident",0.288836773614694,0.2998514,0.0110146263853059,72,"Resident (72)"
4018,"short distance",0.317150084527799,0.2998514,-0.0172986845277989,78,"Short Distance (78)"
4018,"long distance",0.296560284781371,0.2998514,0.00329111521862852,123,"Long Distance (123)"
4027,"resident",0.288836773614694,0.2998514,0.0110146263853059,72,"Resident (72)"
4027,"short distance",0.317150084527799,0.2998514,-0.0172986845277989,78,"Short Distance (78)"
4027,"long distance",0.296560284781371,0.2998514,0.00329111521862852,123,"Long Distance (123)"
4028,"resident",0.288836773614694,0.2998514,0.0110146263853059,72,"Resident (72)"
4028,"short distance",0.317150084527799,0.2998514,-0.0172986845277989,78,"Short Distance (78)"
4028,"long distance",0.296560284781371,0.2998514,0.00329111521862852,123,"Long Distance (123)"
4029,"resident",0.288836773614694,0.2998514,0.0110146263853059,72,"Resident (72)"
4029,"short distance",0.317150084527799,0.2998514,-0.0172986845277989,78,"Short Distance (78)"
4029,"long distance",0.296560284781371,0.2998514,0.00329111521862852,123,"Long Distance (123)"
4105,"resident",0.313747566740963,0.3144747,0.000727133259037227,72,"Resident (72)"
4105,"short distance",0.316634893227985,0.3144747,-0.00216019322798511,78,"Short Distance (78)"
4105,"long distance",0.312664227574168,0.3144747,0.00181047242583193,123,"Long Distance (123)"
4113,"resident",0.281787763894301,0.2933795,0.0115917361056988,72,"Resident (72)"
4113,"short distance",0.309755934994165,0.2933795,-0.0163764349941649,78,"Short Distance (78)"
4113,"long distance",0.291050365395246,0.2933795,0.00232913460475392,123,"Long Distance (123)"
4114,"resident",0.281787763894301,0.2933795,0.0115917361056988,72,"Resident (72)"
4114,"short distance",0.309755934994165,0.2933795,-0.0163764349941649,78,"Short Distance (78)"
4114,"long distance",0.291050365395246,0.2933795,0.00232913460475392,123,"Long Distance (123)"
4115,"resident",0.281787763894301,0.2933795,0.0115917361056988,72,"Resident (72)"
4115,"short distance",0.309755934994165,0.2933795,-0.0163764349941649,78,"Short Distance (78)"
4115,"long distance",0.291050365395246,0.2933795,0.00232913460475392,123,"Long Distance (123)"
4128,"resident",0.288836773614694,0.2998514,0.0110146263853059,72,"Resident (72)"
4128,"short distance",0.317150084527799,0.2998514,-0.0172986845277989,78,"Short Distance (78)"
4128,"long distance",0.296560284781371,0.2998514,0.00329111521862852,123,"Long Distance (123)"
4129,"resident",0.281787763894301,0.2933795,0.0115917361056988,72,"Resident (72)"
4129,"short distance",0.309755934994165,0.2933795,-0.0163764349941649,78,"Short Distance (78)"
4129,"long distance",0.291050365395246,0.2933795,0.00232913460475392,123,"Long Distance (123)"
4196,"resident",0.330647690843392,0.3302489,-0.000398790843391672,72,"Resident (72)"
4196,"short distance",0.329691118728726,0.3302489,0.00055778127127365,78,"Short Distance (78)"
4196,"long distance",0.329103154932375,0.3302489,0.00114574506762466,123,"Long Distance (123)"
6052,"short distance",0.432347593970094,0.4333621,0.00101450602990605,78,"Short Distance (78)"
6052,"resident",0.431642119390972,0.4333621,0.00171998060902789,72,"Resident (72)"
6052,"long distance",0.430284384315461,0.4333621,0.00307771568453918,123,"Long Distance (123)"
7020,"resident",0.556343266111609,0.5441053,-0.0122379661116091,72,"Resident (72)"
7020,"short distance",0.529560264041038,0.5441053,0.0145450359589625,78,"Short Distance (78)"
7020,"long distance",0.546879678569999,0.5441053,-0.00277437856999874,123,"Long Distance (123)"
7023,"resident",0.556343266111609,0.5441053,-0.0122379661116091,72,"Resident (72)"
7023,"short distance",0.529560264041038,0.5441053,0.0145450359589625,78,"Short Distance (78)"
7023,"long distance",0.546879678569999,0.5441053,-0.00277437856999874,123,"Long Distance (123)"
7026,"resident",0.556343266111609,0.5441053,-0.0122379661116091,72,"Resident (72)"
7026,"short distance",0.529560264041038,0.5441053,0.0145450359589625,78,"Short Distance (78)"
7026,"long distance",0.546879678569999,0.5441053,-0.00277437856999874,123,"Long Distance (123)"
7028,"resident",0.556343266111609,0.5441053,-0.0122379661116091,72,"Resident (72)"
7028,"short distance",0.529560264041038,0.5441053,0.0145450359589625,78,"Short Distance (78)"
7028,"long distance",0.546879678569999,0.5441053,-0.00277437856999874,123,"Long Distance (123)"
11007,"resident",0.330703259422928,0.3291802,-0.00152305942292758,72,"Resident (72)"
11007,"short distance",0.325627599246399,0.3291802,0.00355260075360092,78,"Short Distance (78)"
11007,"long distance",0.327023359169316,0.3291802,0.00215684083068401,123,"Long Distance (123)"
11009,"resident",0.300582039962454,0.3015329,0.000950860037546297,72,"Resident (72)"
11009,"short distance",0.309192823199352,0.3015329,-0.00765992319935171,78,"Short Distance (78)"
11009,"long distance",0.294860734004712,0.3015329,0.00667216599528819,123,"Long Distance (123)"
11010,"long distance",0.310372095989659,0.3143404,0.00396830401034098,123,"Long Distance (123)"
11010,"resident",0.320428115106697,0.3143404,-0.00608771510669726,72,"Resident (72)"
