"focal_rte","aou","excl_dir"
2001,2890,0.444332312379205
2001,3131,0.458323229110495
2001,3160,0.453744517469721
2001,3870,0.454428369033605
2001,3930,0.453659458937424
2001,3940,0.457701311969941
2001,4050,0.455185498944861
2001,4060,0.456507701029414
2001,4090,0.454107314307795
2001,4120,0.453186195172898
2001,4230,0.449970830761663
2001,4280,0.455010857518252
2001,4440,0.454327461023694
2001,4520,0.455010123682874
2001,4560,0.454234466610127
2001,4610,0.454985940865177
2001,4650,0.451225662347777
2001,4740,0.454793145463015
2001,4770,0.454000798575136
2001,4880,0.454496663245433
2001,4930,0.459147676156456
2001,4950,0.454325056491599
2001,4980,0.44674221075464
2001,5010,0.451812588888363
2001,5060,0.454251761425073
2001,5110,0.454748113520555
2001,5190,0.455683219655773
2001,5290,0.455685543296992
2001,5460,0.454737274043326
2001,5600,0.454959567224104
2001,5630,0.452819373656436
2001,5810,0.456213689210751
2001,5870,0.454292109954674
2001,5930,0.454290462300177
2001,5970,0.452876883731869
2001,5980,0.454310241003885
2001,6040,0.456480257116377
2001,6080,0.454149099458578
2001,6100,0.454007096805986
2001,6110,0.455287910869791
2001,6120,0.464706998927795
2001,6130,0.454979774197331
2001,6170,0.456902988599772
2001,6190,0.454525942896557
2001,6220,0.454070072518372
2001,6240,0.453266493747489
2001,6280,0.450167194367869
2001,6310,0.452470561058949
2001,6480,0.452811742107877
2001,6630,0.453385291906535
2001,6710,0.454482881917119
2001,6730,0.456055350489379
2001,6760,0.454666684336943
2001,6770,0.45365156028245
2001,6810,0.453027694892998
2001,6830,0.454790416893215
2001,6840,0.453441568234625
2001,6882,0.445571240370899
2001,7030,0.454195725496238
2001,7040,0.453790030862614
2001,7050,0.455484957060353
2001,7180,0.453529415963515
2001,7210,0.454525942896557
2001,7270,0.456823669562647
2001,7310,0.453834847236017
2001,7360,0.453884352734602
2001,7510,0.456195386849988
2001,7550,0.454849433122564
2001,7610,0.455454134091212
2001,7660,0.454999332131623
2001,22860,0.447945435318377
2001,3100,0.454728579243751
2001,5750,0.4541131383928
2001,6360,0.45488910679019
2001,6380,0.454087837751789
2001,6390,0.454080153995047
2001,6410,0.454873049315919
2001,6740,0.454365044086791
2001,5070,0.453981959273903
2007,2890,0.459721064561979
2007,3100,0.474584102774939
2007,3131,0.494858649666334
2007,3160,0.476539698778501
2007,3870,0.472861421797599
2007,3940,0.479188802967257
2007,4050,0.476982544848994
2007,4090,0.476920538228413
2007,4120,0.477102444329821
2007,4230,0.47965256472206
2007,4280,0.47779395281916
2007,4440,0.47645554505791
2007,4520,0.476978341665665
2007,4560,0.476916794167322
2007,4610,0.476059031828894
2007,4650,0.476961501486088
2007,4770,0.477272249867974
2007,4880,0.476673628802868
2007,4930,0.477628548754774
2007,4950,0.47635176010564
2007,4980,0.473330776136473
2007,5010,0.473493105128245
2007,5060,0.476959310837758
2007,5110,0.477891364591223
2007,5190,0.477052479518027
2007,5290,0.478767021999803
2007,5460,0.474982691307612
2007,5600,0.476693418234292
2007,5630,0.476870748701186
2007,5810,0.476607873723844
2007,5870,0.476655779497712
2007,5930,0.476443602315994
2007,5970,0.476478348793829
2007,5980,0.47652998415498
2007,6040,0.482570659107901
2007,6080,0.47950920361519
2007,6100,0.477904194484855
2007,6110,0.477333500093885
2007,6120,0.451567142913162
2007,6130,0.476363711359628
2007,6140,0.476508485991487
2007,6170,0.478372024187595
2007,6190,0.478688659115036
2007,6220,0.478809388025471
2007,6240,0.477148055737056
2007,6280,0.47650972370905
2007,6310,0.476751869192515
2007,6410,0.476485972581784
2007,6480,0.470985861081953
2007,6630,0.476241845368627
2007,6710,0.476466388186527
2007,6730,0.477334939626467
