"focal_rte","scale","Breeding.Biome","excl_dir","dir_core_regional","dir_core_local","dir_diff","n_spp","hab_plot"
2017,"nesting_dir_local","Habitat Generalist",0.480327613343922,0.4842505,0.50630981471268,0.0259822013687585,23,"Habitat Generalist (23)"
2017,"nesting_dir_local","Forest Generalist",0.527805147751851,0.4842505,0.50630981471268,-0.0214953330391705,31,"Forest Generalist (31)"
2017,"nesting_dir_local","Grassland",0.503526984330866,0.4842505,0.50630981471268,0.00278283038181437,25,"Grassland (25)"
2017,"nesting_dir_local","Introduced",0.502319845079712,0.4842505,0.50630981471268,0.00398996963296816,8,"Introduced (8)"
2017,"nesting_dir_local","Boreal Forest",0.50605775512964,0.4842505,0.50630981471268,0.000252059583040309,31,"Boreal Forest (31)"
2019,"nesting_dir","Eastern Forest",0.565209887072042,0.574848,0.447882410574263,0.00963811292795769,56,"Eastern Forest (56)"
2019,"nesting_dir","Habitat Generalist",0.590985163713903,0.574848,0.447882410574263,-0.0161371637139034,23,"Habitat Generalist (23)"
2019,"nesting_dir","Forest Generalist",0.582222250387864,0.574848,0.447882410574263,-0.00737425038786432,31,"Forest Generalist (31)"
2019,"nesting_dir","Grassland",0.566297394205696,0.574848,0.447882410574263,0.00855060579430411,25,"Grassland (25)"
2019,"nesting_dir","Introduced",0.568114578242146,0.574848,0.447882410574263,0.00673342175785452,8,"Introduced (8)"
2019,"nesting_dir","Aridlands",0.575170923598218,0.574848,0.447882410574263,-0.000322923598218061,34,"Aridlands (34)"
2019,"nesting_dir_local","Eastern Forest",0.44170632141987,0.574848,0.447882410574263,0.00617608915439288,56,"Eastern Forest (56)"
2019,"nesting_dir_local","Forest Generalist",0.454151830214445,0.574848,0.447882410574263,-0.00626941964018252,31,"Forest Generalist (31)"
2019,"nesting_dir_local","Habitat Generalist",0.45871666625197,0.574848,0.447882410574263,-0.0108342556777068,23,"Habitat Generalist (23)"
2019,"nesting_dir_local","Grassland",0.441490314186004,0.574848,0.447882410574263,0.00639209638825944,25,"Grassland (25)"
2019,"nesting_dir_local","Introduced",0.438125987884912,0.574848,0.447882410574263,0.00975642268935051,8,"Introduced (8)"
2019,"nesting_dir_local","Aridlands",0.448332433596617,0.574848,0.447882410574263,-0.000450023022354362,34,"Aridlands (34)"
2020,"nesting_dir","Eastern Forest",0.612136642672569,0.6025268,0.523951222432466,-0.00960984267256881,56,"Eastern Forest (56)"
2020,"nesting_dir","Forest Generalist",0.614266911638741,0.6025268,0.523951222432466,-0.0117401116387412,31,"Forest Generalist (31)"
2020,"nesting_dir","Habitat Generalist",0.605615330026782,0.6025268,0.523951222432466,-0.00308853002678156,23,"Habitat Generalist (23)"
2020,"nesting_dir","Grassland",0.592745898118562,0.6025268,0.523951222432466,0.0097809018814381,25,"Grassland (25)"
2020,"nesting_dir","Introduced",0.590569979279593,0.6025268,0.523951222432466,0.0119568207204072,8,"Introduced (8)"
2020,"nesting_dir","Aridlands",0.603219443900805,0.6025268,0.523951222432466,-0.00069264390080459,34,"Aridlands (34)"
2020,"nesting_dir","Wetland",0.602861982886383,0.6025268,0.523951222432466,-0.000335182886383012,6,"Wetland (6)"
2020,"nesting_dir_local","Eastern Forest",0.535133738307154,0.6025268,0.523951222432466,-0.011182515874688,56,"Eastern Forest (56)"
2020,"nesting_dir_local","Habitat Generalist",0.510640767222032,0.6025268,0.523951222432466,0.0133104552104344,23,"Habitat Generalist (23)"
2020,"nesting_dir_local","Forest Generalist",0.535588971433668,0.6025268,0.523951222432466,-0.0116377490012025,31,"Forest Generalist (31)"
2020,"nesting_dir_local","Grassland",0.51886782749013,0.6025268,0.523951222432466,0.00508339494233545,25,"Grassland (25)"
2020,"nesting_dir_local","Introduced",0.5238809268735,0.6025268,0.523951222432466,7.02955589663157e-05,8,"Introduced (8)"
2022,"nesting_dir","Eastern Forest",0.611373322696705,0.5990036,0.492141340689184,-0.012369722696705,56,"Eastern Forest (56)"
2022,"nesting_dir","Forest Generalist",0.611655840981654,0.5990036,0.492141340689184,-0.0126522409816536,31,"Forest Generalist (31)"
2022,"nesting_dir","Habitat Generalist",0.602299532759145,0.5990036,0.492141340689184,-0.00329593275914497,23,"Habitat Generalist (23)"
2022,"nesting_dir","Grassland",0.587658129406335,0.5990036,0.492141340689184,0.0113454705936645,25,"Grassland (25)"
2022,"nesting_dir","Introduced",0.585273960371371,0.5990036,0.492141340689184,0.0137296396286287,8,"Introduced (8)"
2022,"nesting_dir","Aridlands",0.599881816857462,0.5990036,0.492141340689184,-0.000878216857461589,34,"Aridlands (34)"
2022,"nesting_dir","Wetland",0.599320876635542,0.5990036,0.492141340689184,-0.000317276635541597,6,"Wetland (6)"
2022,"nesting_dir_local","Eastern Forest",0.492935630051946,0.5990036,0.492141340689184,-0.000794289362762102,56,"Eastern Forest (56)"
2022,"nesting_dir_local","Forest Generalist",0.502668873954199,0.5990036,0.492141340689184,-0.0105275332650154,31,"Forest Generalist (31)"
2022,"nesting_dir_local","Habitat Generalist",0.49894749180022,0.5990036,0.492141340689184,-0.00680615111103566,23,"Habitat Generalist (23)"
2022,"nesting_dir_local","Grassland",0.488731477781186,0.5990036,0.492141340689184,0.00340986290799783,25,"Grassland (25)"
2022,"nesting_dir_local","Introduced",0.480932009881417,0.5990036,0.492141340689184,0.0112093308077669,8,"Introduced (8)"
2025,"nesting_dir","Eastern Forest",0.614469863604206,0.6078314,0.492141340689184,-0.00663846360420595,56,"Eastern Forest (56)"
2025,"nesting_dir","Habitat Generalist",0.615375405562107,0.6078314,0.492141340689184,-0.00754400556210677,23,"Habitat Generalist (23)"
2025,"nesting_dir","Forest Generalist",0.619764837547666,0.6078314,0.492141340689184,-0.011933437547666,31,"Forest Generalist (31)"
2025,"nesting_dir","Grassland",0.596430566128163,0.6078314,0.492141340689184,0.0114008338718368,25,"Grassland (25)"
2025,"nesting_dir","Introduced",0.593805061373769,0.6078314,0.492141340689184,0.0140263386262313,8,"Introduced (8)"
2025,"nesting_dir","Aridlands",0.609000400656843,0.6078314,0.492141340689184,-0.00116900065684311,34,"Aridlands (34)"
2025,"nesting_dir","Wetland",0.608119076337094,0.6078314,0.492141340689184,-0.000287676337094256,6,"Wetland (6)"
2025,"nesting_dir_local","Eastern Forest",0.492935630051946,0.6078314,0.492141340689184,-0.000794289362762102,56,"Eastern Forest (56)"
2025,"nesting_dir_local","Forest Generalist",0.502668873954199,0.6078314,0.492141340689184,-0.0105275332650154,31,"Forest Generalist (31)"
2025,"nesting_dir_local","Habitat Generalist",0.49894749180022,0.6078314,0.492141340689184,-0.00680615111103566,23,"Habitat Generalist (23)"
2025,"nesting_dir_local","Grassland",0.488731477781186,0.6078314,0.492141340689184,0.00340986290799783,25,"Grassland (25)"
2025,"nesting_dir_local","Introduced",0.480932009881417,0.6078314,0.492141340689184,0.0112093308077669,8,"Introduced (8)"
2029,"nesting_dir","Eastern Forest",0.574542443935069,0.5774505,0.465989426191848,0.00290805606493083,56,"Eastern Forest (56)"
2029,"nesting_dir","Forest Generalist",0.588357764858544,0.5774505,0.465989426191848,-0.0109072648585444,31,"Forest Generalist (31)"
