"stateroute","scale","year_bin","cwm_temp_range","cwm_temp_mean","cwm_for_range","cwm_for_mean","cwm_logmass","spp","focal_rte"
2001,2,1992,10.5869117647059,22.0150724764778,0.747796972019765,0.407622448921287,1.45908119029412,"no transients",2001
2001,2,1996,10.741796875,21.960772621596,0.757580470827264,0.404827767343245,1.48280035384375,"no transients",2001
2001,2,2000,10.7733846153846,22.0119742241355,0.75670905851634,0.403810931029204,1.4963210358,"no transients",2001
2001,2,2004,10.7377464788732,21.9506113571071,0.750962671863827,0.403864142655558,1.50279918869014,"no transients",2001
2001,2,2008,10.5153676470588,22.0701728173002,0.749935694607823,0.414241903761925,1.45482897702941,"no transients",2001
2001,2,2012,10.6052272727273,22.0736192790661,0.754311424790936,0.408009593861787,1.46519789630303,"no transients",2001
2001,21,1992,10.3845882352941,22.0159845395589,0.734128512508301,0.404229831845588,1.48047711983529,"no transients",2001
2001,21,1996,10.4989375,22.0611117632991,0.738465156708324,0.401257027862742,1.494791144175,"no transients",2001
2001,21,2000,10.31,22.1680882473003,0.728424748895779,0.393829874257507,1.4987258706747,"no transients",2001
2001,21,2004,10.3584523809524,22.1389847932236,0.731076600181767,0.394100820102058,1.49350548421429,"no transients",2001
2001,21,2008,10.4527976190476,22.0077659670607,0.737614557385446,0.401026818403071,1.48802942730952,"no transients",2001
2001,21,2012,10.545987654321,22.0000040067631,0.741446934270292,0.398810567167137,1.49549440008642,"no transients",2001
2007,2,1992,10.75075,22.0340199856542,0.762265735835399,0.392796736912841,1.51467648976667,"no transients",2007
2007,2,1996,10.9448360655738,21.9277833347722,0.763850109436092,0.391864769646609,1.51129011721311,"no transients",2007
2007,2,2000,10.9091666666667,21.9558769841077,0.760686413307419,0.384827690952743,1.49259530238333,"no transients",2007
2007,2,2004,10.856186440678,22.0312654294427,0.758247560110161,0.391036581221835,1.49950876615254,"no transients",2007
2007,2,2008,10.7453787878788,22.0164833883027,0.760123040560231,0.397293280654533,1.53413540165152,"no transients",2007
2007,2,2012,10.7171641791045,21.9404266778272,0.755199197363486,0.402642051188113,1.49738996241791,"no transients",2007
2007,21,1992,10.6044705882353,21.7480032263327,0.748083373394869,0.402535838180476,1.47473082461176,"no transients",2007
2007,21,1996,10.6312352941176,21.7222189515468,0.749222058803103,0.406740767756994,1.4664537434,"no transients",2007
2007,21,2000,10.5091860465116,21.6895884504794,0.745535793129933,0.408032827464043,1.47058234554651,"no transients",2007
2007,21,2004,10.5092613636364,21.7244771480362,0.73919962487099,0.402521592057209,1.47158279769318,"no transients",2007
2007,21,2008,10.5524431818182,21.724264547242,0.739085204707437,0.402381083952478,1.46775982075,"no transients",2007
2007,21,2012,10.6216091954023,21.7655730213057,0.739104058131952,0.3988001162493,1.47691351612644,"no transients",2007
2010,2,1992,10.6477419354839,22.0732201674079,0.76286749678177,0.4072902943774,1.47982542072581,"no transients",2010
2010,2,1996,10.65609375,21.9686958765545,0.763795423080477,0.41105909120746,1.46310003354687,"no transients",2010
2010,2,2000,10.646015625,22.026982005769,0.764951686620932,0.409946711514041,1.5057120471875,"no transients",2010
2010,2,2004,10.6283076923077,21.9660631163237,0.763673899740503,0.409853234043902,1.4715460716,"no transients",2010
2010,2,2008,10.7011594202899,21.9280474432477,0.759140781944717,0.408497040910099,1.50980351452174,"no transients",2010
2010,2,2012,10.4800714285714,22.0449823122018,0.74932403879193,0.414829148813284,1.49327802268571,"no transients",2010
2010,21,1992,10.4007222222222,21.460687252061,0.74021396482208,0.416644518441685,1.47125535924444,"no transients",2010
2010,21,1996,10.5901744186047,21.515269515738,0.752558475733453,0.414054613633537,1.5090013819186,"no transients",2010
2010,21,2000,10.3743956043956,21.4712893202653,0.737723413345072,0.418771506361555,1.47635429263736,"no transients",2010
2010,21,2004,10.4772527472527,21.6098600679589,0.742338755387784,0.41098630992414,1.50479879567033,"no transients",2010
2010,21,2008,10.5808139534884,21.5729680506867,0.752595392099041,0.409474002237222,1.47944817786047,"no transients",2010
2010,21,2012,10.4868888888889,21.6273603096468,0.745624277890941,0.41411685327591,1.48685671812222,"no transients",2010
2017,2,1992,10.4111538461538,22.159696045001,0.756099673876993,0.417954818724072,1.48056336473846,"no transients",2017
2017,2,1996,10.4775373134328,22.1189264404597,0.756325936055597,0.417575889628606,1.46452402138806,"no transients",2017
2017,2,2000,10.5013432835821,22.0385216287706,0.753764704442211,0.420535999664718,1.49050031992537,"no transients",2017
2017,2,2004,10.5332352941176,22.0297169245818,0.756751017151355,0.42043197394467,1.46585968364706,"no transients",2017
2017,2,2008,10.4663076923077,22.0415673616889,0.753685335029586,0.421115946187887,1.44783482656923,"no transients",2017
2017,2,2012,10.5736153846154,21.9537038245643,0.754415310519134,0.423599848944256,1.4686869444,"no transients",2017
2017,21,1992,10.1124257425743,21.1703081095755,0.736172040763126,0.425769785503369,1.45995825733663,"no transients",2017
2017,21,1996,10.048137254902,21.0428077388131,0.737773967451383,0.43936356605352,1.42975054510784,"no transients",2017
2017,21,2000,10.1534343434343,21.1048578352988,0.73660421989592,0.436398402720652,1.45613893770707,"no transients",2017
2017,21,2004,10.1471717171717,21.0904803651841,0.738593742911439,0.435107855089423,1.45526079690909,"no transients",2017
2017,21,2008,10.2250510204082,21.3467499818454,0.737427378913742,0.423194206382544,1.47473803414286,"no transients",2017
2017,21,2012,10.18665,21.1440540219498,0.738127831478447,0.435483501363119,1.44129568365,"no transients",2017
2019,2,1992,10.4144117647059,22.1848855144599,0.751921180651179,0.413055733102586,1.49528150420588,"no transients",2019
