"focal_rte","spp_excl_dir","nesting_group","excl_dir","dir_diff"
2001,0.543088592006235,"Urban",0.521873522464028,0.0212150695422068
2001,0.543088592006235,"Woodland",0.524003096947193,0.0190854950590417
2001,0.543088592006235,"Deciduous forest",0.523628643122469,0.0194599488837663
2001,0.543088592006235,"Grassland",0.522743650587097,0.0203449414191377
2001,0.543088592006235,"Coniferous forest",0.525707860594289,0.0173807314119463
2007,0.575899591429867,"Urban",0.525654596870703,0.0502449945591643
2007,0.575899591429867,"Woodland",0.512848464575662,0.0630511268542051
2007,0.575899591429867,"Deciduous forest",0.526889311002325,0.0490102804275425
2007,0.575899591429867,"Grassland",0.524274400233865,0.0516251911960017
2007,0.575899591429867,"Coniferous forest",0.523575280988741,0.0523243104411256
2010,0.546043850362425,"Urban",0.499364424908064,0.0466794254543613
2010,0.546043850362425,"Woodland",0.501670684466865,0.04437316589556
2010,0.546043850362425,"Deciduous forest",0.501295604655097,0.0447482457073276
2010,0.546043850362425,"Coniferous forest",0.499615830169913,0.0464280201925117
2010,0.546043850362425,"Grassland",0.499426181843218,0.0466176685192069
2017,0.462962187980703,"Urban",0.431725310169215,0.0312368778114878
2017,0.462962187980703,"Woodland",0.412679946439578,0.0502822415411254
2017,0.462962187980703,"Deciduous forest",0.419677719097151,0.0432844688835516
2017,0.462962187980703,"Coniferous forest",0.421305010626092,0.0416571773546114
2017,0.462962187980703,"Grassland",0.421166193877599,0.0417959941031043
2019,0.539204152880775,"Urban",0.519609533013449,0.019594619867326
2019,0.539204152880775,"Woodland",0.521249044271392,0.0179551086093825
2019,0.539204152880775,"Deciduous forest",0.518713058494727,0.0204910943860475
2019,0.539204152880775,"Grassland",0.518162095253176,0.0210420576275988
2019,0.539204152880775,"Coniferous forest",0.522799270415761,0.0164048824650138
2020,0.577744208923398,"Urban",0.542663856435399,0.035080352487999
2020,0.577744208923398,"Woodland",0.559594997746424,0.0181492111769735
2020,0.577744208923398,"Deciduous forest",0.543192862306221,0.0345513466171765
2020,0.577744208923398,"Coniferous forest",0.55505595890118,0.0226882500222181
2020,0.577744208923398,"Grassland",0.544450764060749,0.0332934448626491
2022,0.574516512309277,"Urban",0.534419982515942,0.0400965297933349
2022,0.574516512309277,"Woodland",0.549446337019242,0.0250701752900355
2022,0.574516512309277,"Deciduous forest",0.536353065510418,0.0381634467988591
2022,0.574516512309277,"Coniferous forest",0.547254013492464,0.027262498816813
2022,0.574516512309277,"Grassland",0.539752028973489,0.034764483335788
2025,0.587720218983984,"Urban",0.5518237220756,0.035896496908384
2025,0.587720218983984,"Woodland",0.583880616588379,0.00383960239560455
2025,0.587720218983984,"Deciduous forest",0.571166028702693,0.0165541902812909
2025,0.587720218983984,"Grassland",0.566212171810562,0.0215080471734218
2025,0.587720218983984,"Coniferous forest",0.571648577179142,0.0160716418048419
2029,0.566775876614458,"Urban",0.51526971991183,0.0515061567026283
2029,0.566775876614458,"Woodland",0.547927618213094,0.0188482584013641
2029,0.566775876614458,"Deciduous forest",0.537357702356331,0.0294181742581272
2029,0.566775876614458,"Coniferous forest",0.539735727463377,0.0270401491510814
2029,0.566775876614458,"Grassland",0.534103619402544,0.0326722572119138
2035,0.578353415721721,"Urban",0.541978622307714,0.0363747934140074
2035,0.578353415721721,"Woodland",0.569370141096396,0.00898327462532456
2035,0.578353415721721,"Deciduous forest",0.553568009656938,0.0247854060647832
2035,0.578353415721721,"Coniferous forest",0.561844935182325,0.0165084805393962
2035,0.578353415721721,"Grassland",0.552520888769779,0.0258325269519423
2036,0.577170077301248,"Urban",0.543470635804392,0.0336994414968561
2036,0.577170077301248,"Woodland",0.561837628348876,0.0153324489523724
2036,0.577170077301248,"Deciduous forest",0.546684383899005,0.0304856934022427
2036,0.577170077301248,"Coniferous forest",0.558195778874041,0.0189742984272074
2036,0.577170077301248,"Grassland",0.547341467046589,0.029828610254659
2043,0.576609476788306,"Urban",0.544014171029092,0.0325953057592137
2043,0.576609476788306,"Woodland",0.564203039975097,0.0124064368132086
2043,0.576609476788306,"Deciduous forest",0.555906772492284,0.0207027042960223
2043,0.576609476788306,"Grassland",0.552519811226789,0.0240896655615174
2043,0.576609476788306,"Coniferous forest",0.557240551341675,0.019368925446631
2045,0.543088592006235,"Urban",0.521873522464028,0.0212150695422068
2045,0.543088592006235,"Woodland",0.524003096947193,0.0190854950590417
2045,0.543088592006235,"Deciduous forest",0.523628643122469,0.0194599488837663
2045,0.543088592006235,"Grassland",0.522743650587097,0.0203449414191377
2045,0.543088592006235,"Coniferous forest",0.525707860594289,0.0173807314119463
2047,0.552954612160367,"Urban",0.52604472347221,0.0269098886881574
2047,0.552954612160367,"Woodland",0.539275459355788,0.0136791528045785
2047,0.552954612160367,"Deciduous forest",0.528868205545485,0.0240864066148817
2047,0.552954612160367,"Grassland",0.52822941103149,0.0247252011288769
2047,0.552954612160367,"Coniferous forest",0.532604758605074,0.020349853555293
2050,0.572695136876591,"Urban",0.533674526026815,0.0390206108497757
2050,0.572695136876591,"Woodland",0.556047127142252,0.016648009734339
2050,0.572695136876591,"Deciduous forest",0.544548644875456,0.0281464920011349
2050,0.572695136876591,"Coniferous forest",0.550981639015536,0.0217134978610546
2050,0.572695136876591,"Grassland",0.544819019855261,0.0278761170213304
2052,0.583345260040795,"Urban",0.553556375999732,0.0297888840410627
2052,0.583345260040795,"Woodland",0.566234509990565,0.0171107500502296
2052,0.583345260040795,"Deciduous forest",0.548607321758188,0.0347379382826067
2052,0.583345260040795,"Coniferous forest",0.562941547575451,0.0204037124653443
2052,0.583345260040795,"Grassland",0.551608663697989,0.0317365963428056
2053,0.577744208923398,"Urban",0.542663856435399,0.035080352487999
2053,0.577744208923398,"Woodland",0.559594997746424,0.0181492111769735
2053,0.577744208923398,"Deciduous forest",0.543192862306221,0.0345513466171765
2053,0.577744208923398,"Coniferous forest",0.55505595890118,0.0226882500222181
2053,0.577744208923398,"Grassland",0.544450764060749,0.0332934448626491
2054,0.579979336740954,"Urban",0.543487990836999,0.0364913459039553
2054,0.579979336740954,"Woodland",0.574619369287226,0.00535996745372802
2054,0.579979336740954,"Deciduous forest",0.554626532941854,0.0253528037990998
2054,0.579979336740954,"Coniferous forest",0.567452715392625,0.0125266213483292
2054,0.579979336740954,"Grassland",0.55667285787904,0.0233064788619136
2057,0.462962187980703,"Urban",0.431725310169215,0.0312368778114878
2057,0.462962187980703,"Woodland",0.412679946439578,0.0502822415411254
2057,0.462962187980703,"Deciduous forest",0.419677719097151,0.0432844688835516
2057,0.462962187980703,"Coniferous forest",0.421305010626092,0.0416571773546114
2057,0.462962187980703,"Grassland",0.421166193877599,0.0417959941031043
2060,0.55142914688785,"Urban",0.521558995437936,0.0298701514499136
2060,0.55142914688785,"Woodland",0.532021193952555,0.0194079529352954
2060,0.55142914688785,"Deciduous forest",0.524460827482989,0.0269683194048607
2060,0.55142914688785,"Grassland",0.525972547015142,0.0254565998727077
2060,0.55142914688785,"Coniferous forest",0.52893624768842,0.0224928991994305
2065,0.576717253581176,"Urban",0.536833341476549,0.0398839121046269
2065,0.576717253581176,"Woodland",0.567357981467501,0.00935927211367538
2065,0.576717253581176,"Deciduous forest",0.555540521353637,0.0211767322275387
2065,0.576717253581176,"Coniferous forest",0.558878196055256,0.0178390575259195
