"focal_rte","spp_excl_dir","Trophic.Group","excl_dir","dir_diff"
2001,0.543088592006235,"granivore",0.523304005583526,0.0197845864227091
2001,0.543088592006235,"insectivore",0.46862732684637,0.074461265159865
2001,0.543088592006235,"omnivore",0.524248147028368,0.0188404449778671
2001,0.543088592006235,"nectarivore",0.523155998555126,0.0199325934511091
2001,0.543088592006235,"insct/om",0.529701866003388,0.0133867260028467
2007,0.575899591429867,"granivore",0.526189600847102,0.0497099905827653
2007,0.575899591429867,"insectivore",0.489067047667008,0.0868325437628585
2007,0.575899591429867,"nectarivore",0.524418424015837,0.0514811674140303
2007,0.575899591429867,"omnivore",0.528610986350944,0.0472886050789231
2007,0.575899591429867,"insct/om",0.52253918895557,0.053360402474297
2010,0.546043850362425,"granivore",0.50273012471824,0.0433137256441847
2010,0.546043850362425,"insectivore",0.534537414983447,0.0115064353789783
2010,0.546043850362425,"nectarivore",0.500269229318606,0.0457746210438187
2010,0.546043850362425,"omnivore",0.502645613990994,0.0433982363714305
2010,0.546043850362425,"insct/om",0.487468075239425,0.058575775123
2017,0.462962187980703,"granivore",0.429937865029968,0.0330243229507353
2017,0.462962187980703,"insectivore",0.374441439706636,0.0885207482740667
2017,0.462962187980703,"omnivore",0.422592563069097,0.040369624911606
2017,0.462962187980703,"nectarivore",0.425894751448393,0.0370674365323104
2017,0.462962187980703,"insct/om",0.418206733382071,0.0447554545986315
2019,0.539204152880775,"granivore",0.518879513579808,0.0203246393009665
2019,0.539204152880775,"insectivore",0.485005258774668,0.0541988941061065
2019,0.539204152880775,"omnivore",0.518824131902879,0.0203800209778964
2019,0.539204152880775,"nectarivore",0.519479709655432,0.0197244432253427
2019,0.539204152880775,"insct/om",0.5204672313982,0.0187369214825752
2020,0.577744208923398,"granivore",0.547571370506568,0.0301728384168302
2020,0.577744208923398,"insectivore",0.527237683567727,0.0505065253556709
2020,0.577744208923398,"omnivore",0.540186596613875,0.0375576123095233
2020,0.577744208923398,"nectarivore",0.544870469558564,0.0328737393648335
2020,0.577744208923398,"insct/om",0.549160059923787,0.0285841489996111
2022,0.574516512309277,"granivore",0.543160264906379,0.0313562474028984
2022,0.574516512309277,"insectivore",0.50417933626257,0.0703371760467073
2022,0.574516512309277,"omnivore",0.536567338797035,0.0379491735122423
2022,0.574516512309277,"nectarivore",0.540082175124244,0.0344343371850334
2022,0.574516512309277,"insct/om",0.547822283331767,0.0266942289775105
2025,0.587720218983984,"granivore",0.567965699465829,0.0197545195181553
2025,0.587720218983984,"insectivore",0.543483905314211,0.0442363136697733
2025,0.587720218983984,"omnivore",0.56340232512015,0.0243178938638337
2025,0.587720218983984,"nectarivore",0.566426222054398,0.0212939969295861
2025,0.587720218983984,"insct/om",0.572719657032009,0.0150005619519754
2029,0.566775876614458,"granivore",0.539063194237063,0.0277126823773952
2029,0.566775876614458,"insectivore",0.536383590912203,0.0303922857022546
2029,0.566775876614458,"omnivore",0.529434275127128,0.0373416014873301
2029,0.566775876614458,"nectarivore",0.53442337437148,0.0323525022429783
2029,0.566775876614458,"insct/om",0.531886393312422,0.0348894833020358
2035,0.578353415721721,"granivore",0.556424857964871,0.0219285577568503
2035,0.578353415721721,"insectivore",0.55768143404658,0.0206719816751407
2035,0.578353415721721,"omnivore",0.546579839228246,0.0317735764934747
2035,0.578353415721721,"insct/om",0.552809956844256,0.0255434588774651
2035,0.578353415721721,"nectarivore",0.553055591886521,0.0252978238352005
2036,0.577170077301248,"granivore",0.55016916236629,0.0270009149349584
2036,0.577170077301248,"insectivore",0.529306475864702,0.0478636014365457
2036,0.577170077301248,"omnivore",0.544297017458914,0.0328730598423337
2036,0.577170077301248,"nectarivore",0.547603591569468,0.02956648573178
2036,0.577170077301248,"insct/om",0.551444545781598,0.0257255315196501
2043,0.576609476788306,"granivore",0.555241791115384,0.0213676856729225
2043,0.576609476788306,"insectivore",0.515633958140387,0.0609755186479193
2043,0.576609476788306,"omnivore",0.54775433672132,0.0288551400669858
2043,0.576609476788306,"nectarivore",0.552730781673781,0.0238786951145251
2043,0.576609476788306,"insct/om",0.562832791937126,0.0137766848511803
2045,0.543088592006235,"granivore",0.523304005583526,0.0197845864227091
2045,0.543088592006235,"insectivore",0.46862732684637,0.074461265159865
2045,0.543088592006235,"omnivore",0.524248147028368,0.0188404449778671
2045,0.543088592006235,"nectarivore",0.523155998555126,0.0199325934511091
2045,0.543088592006235,"insct/om",0.529701866003388,0.0133867260028467
2047,0.552954612160367,"granivore",0.528264338442466,0.024690273717901
2047,0.552954612160367,"insectivore",0.506281466308741,0.0466731458516256
2047,0.552954612160367,"omnivore",0.524350695800936,0.0286039163594309
2047,0.552954612160367,"nectarivore",0.530422263715812,0.0225323484445554
2047,0.552954612160367,"insct/om",0.532606485533928,0.0203481266264389
2050,0.572695136876591,"granivore",0.547435140244146,0.025259996632445
2050,0.572695136876591,"insectivore",0.514934764274463,0.0577603726021284
2050,0.572695136876591,"omnivore",0.542676814282311,0.0300183225942802
2050,0.572695136876591,"nectarivore",0.545312348900955,0.0273827879756359
2050,0.572695136876591,"insct/om",0.55092727856768,0.0217678583089109
2052,0.583345260040795,"granivore",0.554672126648076,0.0286731333927195
2052,0.583345260040795,"insectivore",0.523508508063804,0.0598367519769915
2052,0.583345260040795,"omnivore",0.549557592542071,0.0337876674987242
2052,0.583345260040795,"nectarivore",0.551966950310044,0.0313783097307511
2052,0.583345260040795,"insct/om",0.556925666389941,0.026419593650854
2053,0.577744208923398,"granivore",0.547571370506568,0.0301728384168302
