"focal_rte","scale","Trophic.Group","excl_dir","dir_core_regional","dir_core_local","dir_diff","n_spp","trophic_plot"
2017,"trophic_dir_local","insectivore",0.515880692795425,0.4842505,0.50630981471268,-0.00957087808274548,162,"Insectivore (162)"
2017,"trophic_dir_local","omnivore",0.510927756889902,0.4842505,0.50630981471268,-0.00461794217722167,22,"Omnivore (22)"
2017,"trophic_dir_local","nectarivore",0.508369079469577,0.4842505,0.50630981471268,-0.00205926475689744,6,"Nectarivore (6)"
2017,"trophic_dir_local","insect/omnivore",0.499350058676503,0.4842505,0.50630981471268,0.00695975603617732,55,"Insect/Omnivore (55)"
2019,"trophic_dir","herbivore",0.539204152880775,0.574848,0.447882410574263,0.0356438471192254,8,"Herbivore (8)"
2019,"trophic_dir","granivore",0.580251230519167,0.574848,0.447882410574263,-0.0054032305191668,23,"Granivore (23)"
2019,"trophic_dir","insectivore",0.630622029741109,0.574848,0.447882410574263,-0.0557740297411087,162,"Insectivore (162)"
2019,"trophic_dir","omnivore",0.575613953811994,0.574848,0.447882410574263,-0.000765953811994069,22,"Omnivore (22)"
2019,"trophic_dir","nectarivore",0.576430766534672,0.574848,0.447882410574263,-0.00158276653467215,6,"Nectarivore (6)"
2019,"trophic_dir","insect/omnivore",0.571517275213864,0.574848,0.447882410574263,0.00333072478613561,55,"Insect/Omnivore (55)"
2019,"trophic_dir_local","herbivore",0.424516946876293,0.574848,0.447882410574263,0.0233654636979698,8,"Herbivore (8)"
2019,"trophic_dir_local","omnivore",0.455662241018932,0.574848,0.447882410574263,-0.00777983044466862,22,"Omnivore (22)"
2019,"trophic_dir_local","granivore",0.436524124545358,0.574848,0.447882410574263,0.0113582860289045,23,"Granivore (23)"
2019,"trophic_dir_local","insectivore",0.459983053242779,0.574848,0.447882410574263,-0.0121006426685156,162,"Insectivore (162)"
2019,"trophic_dir_local","nectarivore",0.450696578613797,0.574848,0.447882410574263,-0.00281416803953377,6,"Nectarivore (6)"
2019,"trophic_dir_local","insect/omnivore",0.464350575968684,0.574848,0.447882410574263,-0.0164681653944208,55,"Insect/Omnivore (55)"
2020,"trophic_dir","herbivore",0.577744208923398,0.6025268,0.523951222432466,0.0247825910766023,8,"Herbivore (8)"
2020,"trophic_dir","omnivore",0.599498342522703,0.6025268,0.523951222432466,0.0030284574772973,22,"Omnivore (22)"
2020,"trophic_dir","granivore",0.605350479714173,0.6025268,0.523951222432466,-0.00282367971417286,23,"Granivore (23)"
