"focal_rte","migclass","excl_dir","dir_core","dir_diff"
2001,"resid",0.539349098209416,0.5796823,0.040333201790584
2001,"short",0.578730488750676,0.5796823,0.000951811249324086
2001,"neotrop",0.627577609137884,0.5796823,-0.0478953091378835
2007,"resid",0.59828094152848,0.5995199,0.00123895847151967
2007,"short",0.614488418191537,0.5995199,-0.0149685181915372
2007,"neotrop",0.585797775845339,0.5995199,0.0137221241546609
2010,"resid",0.52402906542003,0.560463,0.0364339345799704
2010,"short",0.56321055626652,0.560463,-0.00274755626652001
2010,"neotrop",0.596378667590037,0.560463,-0.0359156675900372
2017,"resid",0.487630553809588,0.4842505,-0.00338005380958784
2017,"short",0.49234518319785,0.4842505,-0.00809468319785023
2017,"neotrop",0.470780261894045,0.4842505,0.0134702381059554
2019,"resid",0.536931596335415,0.574848,0.0379164036645855
2019,"short",0.574691555379561,0.574848,0.000156444620439178
2019,"neotrop",0.61940219089578,0.574848,-0.0445541908957795
2020,"resid",0.580090390137824,0.6025268,0.0224364098621759
2020,"short",0.602321369933586,0.6025268,0.000205430066413825
2020,"neotrop",0.629287926207133,0.6025268,-0.0267611262071328
2022,"resid",0.578518839083461,0.5990036,0.0204847609165387
2022,"short",0.595392658322715,0.5990036,0.00361094167728515
2022,"neotrop",0.625554179559053,0.5990036,-0.0265505795590526
2025,"resid",0.591424591444761,0.6078314,0.0164068085552388
2025,"short",0.590718675267763,0.6078314,0.0171127247322372
2025,"neotrop",0.644643857840619,0.6078314,-0.0368124578406192
2029,"resid",0.579682281529514,0.5774505,-0.00223178152951364
2029,"short",0.554185166406724,0.5774505,0.023265333593276
2029,"neotrop",0.596124243754057,0.5774505,-0.0186737437540566
2035,"resid",0.585921940125657,0.5985589,0.0126369598743428
2035,"short",0.587309471192598,0.5985589,0.0112494288074015
2035,"neotrop",0.625163490669797,0.5985589,-0.026604590669797
2036,"resid",0.580089381084319,0.6012256,0.0211362189156806
2036,"short",0.599106221911494,0.6012256,0.00211937808850637
2036,"neotrop",0.62814139046023,0.6012256,-0.0269157904602302
2043,"resid",0.572746725504233,0.5985387,0.0257919744957665
2043,"short",0.585597394590652,0.5985387,0.0129413054093478
2043,"neotrop",0.642059805804901,0.5985387,-0.0435211058049007
2045,"resid",0.539349098209416,0.5796823,0.040333201790584
2045,"short",0.578730488750676,0.5796823,0.000951811249324086
2045,"neotrop",0.627577609137884,0.5796823,-0.0478953091378835
2047,"resid",0.550096660928609,0.5840343,0.0339376390713912
2047,"short",0.574545432272289,0.5840343,0.00948886772771074
2047,"neotrop",0.635827393335534,0.5840343,-0.0517930933355335
2050,"resid",0.574101343555386,0.5929405,0.018839156444614
2050,"short",0.58485790339957,0.5929405,0.00808259660042987
2050,"neotrop",0.622649205153197,0.5929405,-0.0297087051531973
2052,"resid",0.588239573262676,0.6070583,0.0188187267373241
2052,"short",0.609161226499563,0.6070583,-0.00210292649956334
2052,"neotrop",0.629355626084129,0.6070583,-0.0222973260841294
2053,"resid",0.580090390137824,0.6025268,0.0224364098621759
2053,"short",0.602321369933586,0.6025268,0.000205430066413825
2053,"neotrop",0.629287926207133,0.6025268,-0.0267611262071328
2054,"resid",0.601054661568986,0.5973072,-0.00374746156898553
2054,"short",0.579288817079711,0.5973072,0.0180183829202889
2054,"neotrop",0.61187990330905,0.5973072,-0.0145727033090495
2057,"resid",0.487630553809588,0.4842505,-0.00338005380958784
2057,"short",0.49234518319785,0.4842505,-0.00809468319785023
2057,"neotrop",0.470780261894045,0.4842505,0.0134702381059554
2060,"resid",0.545792817562845,0.5822527,0.0364598824371554
2060,"short",0.573511279526726,0.5822527,0.00874142047327375
2060,"neotrop",0.635347748589163,0.5822527,-0.0530950485891631
2065,"resid",0.582244358525208,0.5952647,0.0130203414747924
2065,"short",0.58408050012551,0.5952647,0.0111841998744902
2065,"neotrop",0.621586235572628,0.5952647,-0.0263215355726283
2066,"resid",0.576952618403545,0.5958105,0.0188578815964549
2066,"short",0.588496437260853,0.5958105,0.00731406273914748
2066,"neotrop",0.625110285534942,0.5958105,-0.0292997855349424
2072,"resid",0.595214291011806,0.5969248,0.00171050898819414
2072,"short",0.613340610780262,0.5969248,-0.0164158107802617
2072,"neotrop",0.581106257774346,0.5969248,0.0158185422256539
2140,"resid",0.584379011138218,0.6002347,0.0158556888617817
2140,"short",0.595693344314994,0.6002347,0.00454135568500569
2140,"neotrop",0.624870471090901,0.6002347,-0.0246357710909008
2142,"resid",0.575096752696752,0.592927,0.0178302473032477
2142,"short",0.585101700042621,0.592927,0.00782529995737857
2142,"neotrop",0.62210163107802,0.592927,-0.0291746310780199
3021,"resid",0.321580965616003,0.3161541,-0.00542686561600331
3021,"short",0.312858498460664,0.3161541,0.003295601539336
3021,"neotrop",0.312519938489506,0.3161541,0.00363416151049367
3224,"resid",0.321580965616003,0.3161541,-0.00542686561600331
3224,"short",0.312858498460664,0.3161541,0.003295601539336
3224,"neotrop",0.312519938489506,0.3161541,0.00363416151049367
3429,"resid",0.321580965616003,0.3161541,-0.00542686561600331
3429,"short",0.312858498460664,0.3161541,0.003295601539336
3429,"neotrop",0.312519938489506,0.3161541,0.00363416151049367
4002,"resid",0.284933148891845,0.296632,0.0116988511081551
4002,"short",0.312527493205734,0.296632,-0.0158954932057343
4002,"neotrop",0.295560888490624,0.296632,0.00107111150937622
4004,"resid",0.284933148891845,0.296632,0.0116988511081551
4004,"short",0.312527493205734,0.296632,-0.0158954932057343
4004,"neotrop",0.295560888490624,0.296632,0.00107111150937622
