"country","stateroute","stops","common_label","deltaCover"
"US",14065,"1-25","Shrubland",-0.00265658310786584
"US",14065,"26-50","Shrubland",-0.00352465334944848
"US",14066,"1-25","Urban",0.00458524751140804
"US",14066,"26-50","Grasslands",0.00754824765090592
"US",14067,"1-25","Shrubland",0.00105309034760572
"US",14067,"26-50","Grasslands",0.00422600164038441
"US",14068,"1-25","Barren",-0.00505316225174754
"US",14068,"26-50","Barren",-0.0041801825572862
"US",14069,"1-25","Barren",-0.0145918466241993
"US",14069,"26-50","Barren",-0.0241870018608897
"US",14070,"1-25","Shrubland",-0.0126246498413939
"US",14070,"26-50","Shrubland",-0.0100022663324117
"US",14071,"1-25","Shrubland",0.00736141023184518
"US",14071,"26-50","Shrubland",0.00813792768644477
"US",14072,"1-25","Agricultural",-0.00899426935986968
"US",14072,"26-50","Urban",0.00738591172447764
"US",14073,"1-25","Grasslands",0.0056783121010879
"US",14073,"26-50","Agricultural",-0.0109566246506588
"US",14075,"1-25","Grasslands",-0.00831794499308576
"US",14075,"26-50","Shrubland",0.00432990060255
"US",14076,"1-25","Grasslands",0.00173779689775908
"US",14076,"26-50","Shrubland",-0.001526747809796
"US",14079,"1-25","Grasslands",-0.00373515234429936
"US",14079,"26-50","Shrubland",0.0140598373825405
"US",14080,"1-25","Agricultural",-0.00211100219390376
"US",14080,"26-50","Urban",0.00191952401142706
"US",14081,"1-25","Grasslands",-0.00194715485580845
"US",14081,"26-50","Urban",0.00245393069737454
"US",14084,"1-25","Barren",-0.000948394000262815
"US",14084,"26-50","Forest",-0.00054966885364788
"US",14085,"1-25","Barren",-0.0043187605479256
"US",14085,"26-50","Grasslands",0.00585464301825867
"US",14086,"1-25","Barren",-0.00259136655753607
"US",14086,"26-50","Barren",-0.000593091946868356
"US",14088,"1-25","Barren",-0.0011045742434905
"US",14088,"26-50","Barren",-0.00236378106329795
"US",14089,"1-25","Agricultural",-0.00207220013322072
"US",14089,"26-50","Water",-0.00268930913642916
"US",14090,"1-25","Shrubland",0.00578285177780104
"US",14090,"26-50","Barren",-0.00775102766268016
"US",14091,"1-25","Urban",0.00952307899619584
"US",14091,"26-50","Urban",0.0102030344047354
"US",14092,"1-25","Agricultural",-0.00256567399518044
"US",14092,"26-50","Agricultural",-0.002519784275695
"US",14093,"1-25","Shrubland",-0.0117132352362282
"US",14093,"26-50","Shrubland",-0.0050145780585658
"US",14094,"1-25","Barren",-0.00536956484849172
"US",14094,"26-50","Barren",-0.00598372113089246
"US",14095,"1-25","Shrubland",0.00168315041962556
"US",14095,"26-50","Shrubland",0.00502900964639933
"US",14096,"1-25","Grasslands",-0.00204796030011814
"US",14096,"26-50","Grasslands",-0.0019437914084206
"US",14097,"1-25","Shrubland",0.0155793233936275
"US",14097,"26-50","Shrubland",0.0145891844578909
"US",14103,"1-25","Grasslands",0.010737452477917
"US",14103,"26-50","Grasslands",0.00695859148581165
"US",14105,"1-25","Urban",0.00836414921810828
"US",14105,"26-50","Urban",0.0117884130982368
"US",14106,"1-25","Grasslands",0.00490206380155124
"US",14106,"26-50","Grasslands",0.00491816650878856
"US",14109,"1-25","Barren",-0.00238921347738439
"US",14109,"26-50","Shrubland",0.00397084707925908
"US",14112,"1-25","Shrubland",0.00715581308808676
"US",14112,"26-50","Grasslands",-0.00361671296590821
"US",14113,"1-25","Urban",0.00153974982990527
"US",14113,"26-50","Shrubland",-0.00420670343415964
"US",14114,"1-25","Shrubland",0.0117516755651482
"US",14114,"26-50","Shrubland",0.00794712497117512
"US",14116,"1-25","Shrubland",-0.00617266326082148
"US",14116,"26-50","Grasslands",0.00334365745646209
"US",14118,"1-25","Shrubland",0.00967466774404804
"US",14118,"26-50","Shrubland",0.01249486860567
"US",14120,"1-25","Grasslands",0.00950107217538392
"US",14120,"26-50","Shrubland",-0.012113737255807
"US",14121,"1-25","Shrubland",-0.00445210103977836
"US",14121,"26-50","Grasslands",-0.00260290634952698
"US",14123,"1-25","Shrubland",0.00825477369750584
"US",14123,"26-50","Shrubland",0.00540252006732696
"US",14124,"1-25","Shrubland",-0.016524361212506
"US",14124,"26-50","Shrubland",-0.0171092655703713
"US",14126,"1-25","Grasslands",-0.00478168747398432
"US",14126,"26-50","Grasslands",-0.00447291373481505
"US",14127,"1-25","Grasslands",0.00451221216402964
"US",14127,"26-50","Grasslands",0.0082969929138648
"US",14131,"1-25","Grasslands",0.00381496482089204
"US",14131,"26-50","Urban",0.00370815659796028
"US",14132,"1-25","Grasslands",0.0257472490480417
"US",14132,"26-50","Forest",-0.0126159487569676
