"focal_rte","nesting_group","excl_dir","dir_core","dir_diff"
2001,"Woodland",0.547532189702812,0.5796823,0.0321501102971877
2001,"Urban",0.591659694150636,0.5796823,-0.0119773941506363
2001,"Deciduous forest",0.585068756495074,0.5796823,-0.00538645649507419
2001,"Grassland",0.571951093786439,0.5796823,0.00773120621356138
2001,"Coniferous forest",0.582664391535567,0.5796823,-0.00298209153556694
2007,"Woodland",0.577820918731578,0.5995199,0.0216989812684217
2007,"Deciduous forest",0.593243532881777,0.5995199,0.00627636711822288
2007,"Urban",0.618814473254059,0.5995199,-0.0192945732540595
2007,"Grassland",0.595235356659434,0.5995199,0.00428454334056649
2007,"Coniferous forest",0.599851085107944,0.5995199,-0.000331185107944387
2010,"Woodland",0.551020982984936,0.560463,0.00944201701506386
2010,"Deciduous forest",0.565589691488322,0.560463,-0.00512669148832179
2010,"Urban",0.563476104475858,0.560463,-0.00301310447585779
2010,"Grassland",0.546700578895214,0.560463,0.0137624211047865
2010,"Coniferous forest",0.56046776640321,0.560463,-4.76640321045441e-06
2017,"Woodland",0.483583425610131,0.4842505,0.00066707438986896
2017,"Urban",0.501961589191258,0.4842505,-0.0177110891912579
2017,"Deciduous forest",0.491424494701075,0.4842505,-0.00717399470107455
2017,"Grassland",0.480802094641254,0.4842505,0.00344840535874552
2017,"Coniferous forest",0.485731244078917,0.4842505,-0.00148074407891741
2019,"Woodland",0.546740024075072,0.574848,0.028107975924928
2019,"Urban",0.589143774559728,0.574848,-0.0142957745597275
2019,"Deciduous forest",0.580542378860439,0.574848,-0.005694378860439
2019,"Grassland",0.566538566060409,0.574848,0.00830943393959072
2019,"Coniferous forest",0.579079729379072,0.574848,-0.00423172937907179
2020,"Woodland",0.593173135489904,0.6025268,0.00935366451009645
2020,"Deciduous forest",0.606547014025082,0.6025268,-0.00402021402508179
2020,"Urban",0.614306939252547,0.6025268,-0.0117801392525472
2020,"Grassland",0.595595895243128,0.6025268,0.0069309047568723
2020,"Coniferous forest",0.609917672519362,0.6025268,-0.00739087251936177
2022,"Woodland",0.588208506704764,0.5990036,0.010795093295236
2022,"Deciduous forest",0.603025867068559,0.5990036,-0.00402226706855924
2022,"Urban",0.608603685478961,0.5990036,-0.00960008547896141
2022,"Grassland",0.590981797722623,0.5990036,0.00802180227737737
2022,"Coniferous forest",0.604636678186835,0.5990036,-0.00563307818683501
2025,"Woodland",0.601350413299571,0.6078314,0.00648098670042863
2025,"Urban",0.610018949153563,0.6078314,-0.00218754915356256
2025,"Deciduous forest",0.614630785957285,0.6078314,-0.00679938595728513
2025,"Grassland",0.5987529990716,0.6078314,0.00907840092840018
2025,"Coniferous forest",0.611664183774352,0.6078314,-0.00383278377435226
2029,"Woodland",0.577234481316233,0.5774505,0.000216018683767083
2029,"Deciduous forest",0.580821638097177,0.5774505,-0.00337113809717671
2029,"Urban",0.570754983770341,0.5774505,0.00669551622965869
2029,"Grassland",0.567904854573728,0.5774505,0.00954564542627245
2029,"Coniferous forest",0.582568861884349,0.5774505,-0.00511836188434911
2035,"Woodland",0.592759893685451,0.5985589,0.00579900631454866
2035,"Urban",0.603885078125127,0.5985589,-0.00532617812512703
2035,"Deciduous forest",0.602306801441901,0.5985589,-0.00374790144190074
2035,"Grassland",0.589175745304945,0.5985589,0.00938315469505491
2035,"Coniferous forest",0.60521064789034,0.5985589,-0.00665174789034018
2036,"Woodland",0.591195506420068,0.6012256,0.010030093579932
2036,"Deciduous forest",0.605143423710438,0.6012256,-0.00391782371043825
2036,"Urban",0.61204105198617,0.6012256,-0.0108154519861696
2036,"Grassland",0.593608195839976,0.6012256,0.00761740416002399
2036,"Coniferous forest",0.608712956621311,0.6012256,-0.00748735662131073
2043,"Woodland",0.590443887161744,0.5985387,0.0080948128382563
2043,"Urban",0.600123653691047,0.5985387,-0.00158495369104683
2043,"Deciduous forest",0.60459348077056,0.5985387,-0.00605478077056021
2043,"Grassland",0.591249882057708,0.5985387,0.00728881794229186
2043,"Coniferous forest",0.602276938749914,0.5985387,-0.00373823874991386
2045,"Woodland",0.547532189702812,0.5796823,0.0321501102971877
2045,"Urban",0.591659694150636,0.5796823,-0.0119773941506363
2045,"Deciduous forest",0.585068756495074,0.5796823,-0.00538645649507419
2045,"Grassland",0.571951093786439,0.5796823,0.00773120621356138
2045,"Coniferous forest",0.582664391535567,0.5796823,-0.00298209153556694
2047,"Woodland",0.567526437264278,0.5840343,0.0165078627357222
2047,"Urban",0.591443406408574,0.5840343,-0.0074091064085744
2047,"Deciduous forest",0.589554493853669,0.5840343,-0.00552019385366886
2047,"Grassland",0.577018151225042,0.5840343,0.0070161487749576
2047,"Coniferous forest",0.587957122717483,0.5840343,-0.00392282271748323
2050,"Woodland",0.583910218438187,0.5929405,0.00903028156181296
2050,"Deciduous forest",0.59702628609904,0.5929405,-0.00408578609903976
2050,"Urban",0.598661935032614,0.5929405,-0.00572143503261424
2050,"Grassland",0.584290630859064,0.5929405,0.00864986914093602
2050,"Coniferous forest",0.597696271867076,0.5929405,-0.00475577186707599
2052,"Woodland",0.601104781932819,0.6070583,0.00595351806718103
2052,"Deciduous forest",0.612291459222836,0.6070583,-0.00523315922283596
2052,"Urban",0.621290339878992,0.6070583,-0.0142320398789916
2052,"Grassland",0.599517575848646,0.6070583,0.00754072415135454
2052,"Coniferous forest",0.614855664839258,0.6070583,-0.00779736483925797
2053,"Woodland",0.593173135489904,0.6025268,0.00935366451009645
2053,"Deciduous forest",0.606547014025082,0.6025268,-0.00402021402508179
