"aou","temp_range","temp_mean"
5570,7.1,11.3388888888889
5580,6.505,16.3805555555556
5590,6.36,12.1941176470588
5600,13.1,19.5159375870716
5610,7.8,17.141735052755
5620,11.5,17.5709531013616
5630,9.2,22.2369773299748
5650,10.805,21.6088235294118
5660,4.06,17.47
5670,7.2,16.3616
5671,10.7,15.457299270073
5677,9.19,13.9294736842105
5690,11.625,16.084756097561
5730,15.15,23.3063131313131
5738,9.285,18.3309160305344
5739,9.73,21.7458333333333
5740,17.1,23.4809523809524
5750,2.2,26.4766081871345
5760,5.55,26.3357142857143
5780,9.345,25.0906626506024
5800,11.62,23.9861271676301
5810,11.6,18.7316687344913
5830,7.485,14.8546460176991
5840,7.385,17.5915282392027
5850,9.65999999999998,14.5127931769723
5860,2.38,29.0486486486486
5870,9.5,22.4658878504673
5871,7.35,22.3181818181818
5880,11.655,17.7211340206186
5900,10.77,16.5562647754137
5910,12.46,24.551497005988
5911,10.215,20.4571428571429
5920,7.8,29.8111111111111
5930,10.1,23.0471890971039
5935,2.25,29.7454545454545
5940,7.08,27.3330827067669
5950,8.965,18.9793082524272
5960,12.4,17.6871878393051
5970,8.1,24.4416
5980,10.2,22.239110556941
5990,11.885,17.5029569892473
6000,7.625,26.409375
6010,4.1,26.8984848484848
6040,9,23.59992
6050,9.57,19.864887063655
6070,11.975,16.2800215982721
6080,8.7,20.5623595505618
6090,11.2,20.6229166666667
6100,5.935,25.1396081771721
6110,11.2,23.034186746988
6120,14.07,20.0725857799788
6121,5.7,27.5992248062016
6122,2,28.1470588235294
6130,13.4,20.5972522080471
6140,11.755,18.5920521172638
6150,12.87,17.0138274336283
6160,10.375,18.7024246395806
6170,13.2,21.2788756388416
6180,5.1,12.5142857142857
6190,11.2,18.8002528901734
6200,14.15,24.8625698324022
6210,5.65,13.0142857142857
6220,11.7,23.3237442922374
6230,0.95,27.7181818181818
6240,12.8,20.4745085190039
6260,4.5,15.9457777777778
6270,12.4,18.8879789631856
6280,9.4,22.5706547619048
6290,9.6,17.6771253286591
6291,11.26,15.7826966292135
6292,12.675,17.6496240601504
6295,6.19,12.78
6300,1.63,26.94
6310,7.5,24.6781871775976
6320,11.34,17.8184331797235
6330,8.8,25.0625
6340,12.645,21.294
6360,12.1,19.7868002357101
6370,4.8,25.3182527301092
6380,5.435,25.7834558823529
6390,8.065,22.9094890510949
6410,6.6,20.8769968051118
6412,5.76,19.8357142857143
6420,4.515,18.743288590604
6430,12.5,27.1453125
6440,11.8,17.4890510948905
6450,6.3,16.7003639672429
6460,11.345,15.5747474747475
6470,6.46,15.4642105263158
6480,11.7,21.8693093093093
6500,4.7,16.1908482142857
6510,9.25999999999999,20.1615384615385
6520,11.87,18.7013242993532
6540,5.335,17.4056782334385
6550,7,16.441935483871
6556,7.45499999999999,13.9309523809524
6560,11.01,15.7079276773296
6570,6.55999999999999,16.577344573235
6580,6.84,21.282428115016
6590,6.4,17.9701598579041
6600,4.09,16.0046997389034
6610,7.54,14.6558035714286
6620,5.3,17.2472295514512
6630,6.655,24.5158441558442
6640,8.76999999999999,18.2387096774194
6650,11.1,17.3721649484536
6670,8.05,17.7235410484669
6680,7.7,13.9679715302491
6690,8.61999999999999,16.8277419354839
6710,10.5,22.3041420118343
6720,5.035,15.7905109489051
6730,8.24,23.5001007049345
6740,10.535,19.2859556494192
6750,7.81,16.2445544554455
6760,8.5,23.0358823529412
6770,6.9,24.1842450765864
6780,4.445,15.9349056603774
6790,5.7,16.8754524886878
6800,9.265,15.071178343949
6810,13.5,20.1705692803437
6830,10.915,22.9729806598407
6840,8.5,23.6217633928571
6850,9.765,15.3754219409283
6860,5.4,17.180505952381
6870,12.1,18.8210716125708
6880,8.86,21.5923076923077
6882,12.6,21.2692220650636
6883,2.18,23.0711111111111
6900,9.735,19.5642857142857
6960,NA,NA
6970,10.76,13.1675675675676
7000,5.8,17.0861224489796
7020,10.535,17.8158986175115
7030,10.9,23.25072
7040,12,20.451417294582
7050,10.3,21.9011158137745
7060,3.1,28.780487804878
7070,9.87499999999999,26.2095238095238
7080,13.15,24.6590909090909
7100,9.2,20.6407407407407
7110,9.23,27.925
7120,11.72,27.1433734939759
7130,9.97,26.8798206278027
7150,15.475,19.0043879907621
7170,14.87,20.8016501650165
7180,8.7,23.9137196924897
7190,14.3,22.1786075949367
7210,11.1,19.4118939658179
7220,3.66,13.4777777777778
7221,7.9,14.6624633431085
7222,5.5,16.8995449374289
7240,8,19.3627642276423
7250,10.38,18.7138686131387
7260,8.5,16.6515808491418
7270,11.8,20.408343361412
7280,8.7,16.4152667423383
7290,3.63,25.7774058577406
7300,9.555,16.5321428571429
7310,9,23.2989668297988
7315,6.18,27.08
7320,4.22,27.7611111111111
7330,9.305,20.2231343283582
7331,11.19,19.0394285714286
7340,10.75,23.525
7350,10.7,17.7184256055363
7351,7.235,14.65
7352,3.77,21.8521739130435
7360,6.5,24.7989533011272
7380,11.73,15.7855855855856
7400,6.275,14.921921182266
7410,9.52,15.3724528301887
7420,10.325,19.1615384615385
7430,13.3,19.238986784141
7460,9.2,27.914364640884
7470,NA,NA
7480,7.58499999999999,15.638256227758
7490,7.8,15.309337860781
7510,10.3,22.9985394352483
7520,9.31,28.1383177570093
7540,10.6,15.3042338709677
7550,10,21.8121703853955
7560,7.76499999999999,17.3986111111111
7570,6.4,12.5365853658537
7571,2.005,15.22
7580,7.5,15.4510188087774
7590,8.7,16.1804682686383
7610,13.5,19.5188462478612
7630,7.44,13.7783972125436
7660,10.3,22.2455578093306
7670,11.805,18.1415909090909
7680,10.465,16.3428217821782
22860,13.6,22.9206269592476
