"aou","temp_range","temp_mean"
2881,7.33,18.2409638554217
2882,11.735,18.890625
2890,8.1,24.1204812534975
2920,9.42,17.9242774566474
2930,10.43,24.9168421052632
2940,11.13,18.4264705882353
2950,15.4,25.9015625
2960,8.8,21.1176470588235
2970,7.945,14.320652173913
2971,7.04,14.4225563909774
2973,5.56,15.1173913043478
2980,6.46,14.4217391304348
3000,8.14,16.4765782250686
3010,3.4,11
3020,1.17,9.75
3050,6.47,22.535632183908
3070,2.78,24.6631578947368
3080,6.71,18.1520376175549
3090,7.225,17.35625
3091,9.60999999999999,20.0348383160464
3100,10.885,21.7541593695271
3120,11.035,16.9570063694268
3131,12.3,20.9950532247965
3160,13,20.9092111592112
3180,1.985,29.2636363636364
3190,9.6,26.8567251461988
3200,4.79,27.2717948717949
3210,4.78,27.7430493273543
3250,12.8,21.5541342121031
3260,7.1,25.321752265861
3270,1.5,26.8961832061069
3280,13.465,23.7790909090909
3290,3.3,26.3659793814433
3310,10.905,18.8246022727273
3320,12.4,18.7119047619048
3330,12.6,21.2988551518168
3333,13.17,20.2285714285714
3340,9.33,15.8266666666667
3350,6.4,28.5450704225352
3370,13.8,20.6886673397274
3380,0,13.7
3390,9.9,23.4616248348745
3400,11.2,24.7758620689655
3410,1.76,28.5862068965517
3420,14.5,20.3057090239411
3430,11.5,20.6640179910045
3451,12.66,20.814465408805
3470,7.58,13.4
3480,8.9,18.9494553376906
3490,12.65,18.3923195084485
3520,14.8,18.6626394052045
3540,0,9.1
3550,13.05,19.1074569789675
3560,14.44,18.6179347826087
3570,6.83,15.9848888888889
3600,13,19.9271929824561
3620,3,28.07890625
3640,14.7,18.9157261794635
3824,0.664999999999998,27.5
3840,1.57,29.1916666666667
3850,11.47,26.1091722595078
3870,9.6,23.3382064455862
3875,5.38,19.6181818181818
3880,7.91499999999999,19.5100846262341
3920,14.33,17.3313924050633
3930,13.72,19.5510928096294
3940,13.2,20.5349296617779
3950,3.28,26.4791666666667
3960,9.83,26.5291946308725
3970,9.24,21.0796460176991
3990,9.08,16.8941176470588
4000,6.6,15.2962199312715
4010,7.7,13.5895027624309
4020,6.23,17.1808219178082
4021,9,14.7815789473684
4022,9.52,15.031884057971
4030,9.99999999999998,15.3740484429066
4040,8.6,14.7333333333333
4050,13.4,20.3053469852105
4060,8.8,23.3802218114603
4070,9.7,19.8806629834254
4080,10.4,16.9286549707602
4090,9.1,23.2603990024938
4100,3.825,28.004
4110,9.85,28.8255813953488
4120,12.3,20.7548608725524
4123,14.995,18.1967741935484
4130,13.555,17.392735042735
4140,6.7,29.8666666666667
4220,11.72,15.0762886597938
4230,10.6,22.602668360864
4240,8.335,15.5865079365079
4250,19.17,20.2084745762712
4280,11.2,21.5152428057554
4290,16.1,22.0965087281796
4300,13.88,25.3447058823529
4310,15.8,20.5289473684211
4320,13.58,17.2445993031359
4330,7.6,14.4597765363128
4340,6.8,18.1934782608696
4360,7.4,15.1826530612245
4390,0.654999999999995,28.83
4402,18,19.6089700996678
4430,5.1,26.3857798165138
4440,12.1,21.0528990024938
4447,8.3,23
4450,1.425,27.4038461538462
4461,2.2,28.9409090909091
4470,14,20.8917425227568
4480,12.65,22.0191235059761
4490,1.85,29.1838709677419
4520,10.7,22.1460953143773
4530,9.07,28.1770114942529
4540,14.815,22.5509118541033
4550,10.78,23.9538461538462
4560,11.4,21.1132052330335
4570,14.29,20.0713123092574
4580,15.56,21.9600806451613
4590,9.5,15.7764857881137
4610,10.6,21.7339974565494
4620,12.74,17.1535861500412
4630,6,15.7731898238748
4640,11.415,15.8775
