"stateroute","country","class","deltaCover"
2052,"US",4,-0.300908349618013
2053,"US",4,-0.179600148818265
2054,"US",4,-0.162996536122049
2055,"US",6,-0.105493071217974
2056,"US",4,-0.179084803613578
2062,"US",4,-0.075356455779695
2069,"US",4,-0.19226562435509
2070,"US",6,-0.125626315072433
2072,"US",4,-0.128452811236713
2073,"US",4,-0.062079541928972
21001,"US",2,0.191161406350241
21003,"US",2,0.0696655429494833
21004,"US",4,-0.142760656086648
21006,"US",4,-0.160551767684434
21008,"US",4,-0.181616981041296
21010,"US",2,0.0788750652230628
2105,"US",4,-0.189464177840993
2109,"US",4,-0.15642234999754
21105,"US",4,-0.0767558319382105
21107,"US",4,-0.139932835979511
2111,"US",4,-0.110789203698566
2140,"US",8,0.116034880157188
2142,"US",4,-0.161859419216076
2162,"US",4,-0.042783640048186
2201,"US",4,-0.149504475603755
2207,"US",4,-0.180618993243886
25001,"US",4,-0.294421450059561
25002,"US",2,0.113520896455538
25003,"US",4,-0.193050029002856
25004,"US",3,-0.119305574896718
25005,"US",4,-0.217664765175568
25006,"US",3,-0.175099216528017
25007,"US",4,-0.160981904078087
25008,"US",3,-0.337375671835424
25009,"US",4,-0.0843547097533757
25010,"US",3,-0.102392822275594
25011,"US",3,-0.150785157524837
25012,"US",3,-0.130371936031674
25014,"US",6,0.162860715178795
25015,"US",4,-0.119595246747868
25016,"US",2,0.189432263077674
25017,"US",7,-0.386101295641932
25018,"US",4,-0.093430317940479
25019,"US",3,-0.104268950429969
25024,"US",7,-0.232102424350245
25025,"US",8,0.139699532245266
25027,"US",7,-0.41386101133321
25029,"US",7,-0.229642257295448
25030,"US",7,-0.298166571125652
25032,"US",4,-0.0944435779294417
25035,"US",8,0.071351924223356
25040,"US",8,0.052132081028897
25055,"US",4,-0.258167723259279
25059,"US",7,-0.159193612452724
25060,"US",4,-0.131046056468815
25062,"US",3,-0.0321156305745347
25064,"US",4,-0.126538043751377
25070,"US",7,-0.158978328810782
25071,"US",7,-0.321877888982676
25075,"US",2,0.055234819560103
25076,"US",6,-0.061337319842826
25081,"US",7,-0.137458391920776
25086,"US",8,0.165090423134405
25105,"US",4,-0.208219212477168
25108,"US",3,-0.219327651022989
25113,"US",7,-0.0690096711627142
25116,"US",2,0.17645600531963
25132,"US",8,0.058392929225986
25901,"US",4,-0.027260495309726
25904,"US",4,-0.117857164094199
25908,"US",4,0.217544183806877
25909,"US",3,-0.0609514549554644
25910,"US",8,0.382879878799165
25911,"US",8,0.105022422981932
25918,"US",8,0.299978886408879
25920,"US",4,-0.205489848414633
25922,"US",2,0.069456540816563
27001,"US",4,-0.084922559496972
27002,"US",4,-0.14126765744107
27003,"US",4,-0.100073896818752
27005,"US",4,-0.179420865756334
27006,"US",8,0.096829904150877
27007,"US",8,0.115303841619179
27008,"US",4,-0.127922313963753
27010,"US",4,-0.049587978671837
27011,"US",4,-0.147669918426683
27012,"US",4,-0.172214168578615
27013,"US",6,-0.170564958509044
27016,"US",4,-0.115625479731621
27019,"US",4,-0.119165327572022
27021,"US",4,-0.124617218300174
27022,"US",2,0.129707884152019
27024,"US",4,-0.169262598288584
27026,"US",4,-0.203582960692861
27027,"US",4,-0.210916703790102
27029,"US",8,0.189320801656308
27030,"US",4,-0.165081134182523
27032,"US",4,-0.135848426382107
27033,"US",4,-0.0896309314587
27034,"US",8,0.106640053463232
27035,"US",4,-0.118702442601542
27036,"US",4,-0.159303824044712
27037,"US",4,-0.126390765026144
27038,"US",4,-0.230279551960222
27040,"US",4,-0.138449740574349
27042,"US",2,0.466564768819259
27043,"US",2,0.223772725560211
27044,"US",2,0.270216365982107
27045,"US",4,-0.074087686189652
27046,"US",4,-0.1442511964515
27047,"US",4,-0.082164500438562
27048,"US",4,-0.12988670959856
27049,"US",6,-0.122518302675636
27050,"US",6,-0.21678757818062
27051,"US",6,-0.138274915458168
27052,"US",8,0.156773266839357
27053,"US",8,0.172089737600692
27054,"US",8,0.118335417778592
27056,"US",4,-0.093995419018355
27057,"US",3,-0.0759282428348699
27058,"US",3,-0.138387048394223
27111,"US",4,-0.148033427861968
27119,"US",4,-0.137385998444867
27123,"US",4,-0.150215932150476
27304,"US",4,-0.267240404860937
27305,"US",8,0.138333263149029
27307,"US",4,-0.230341126487615
27309,"US",4,-0.114482725529749
27310,"US",8,0.152295654664179
27312,"US",6,-0.067084732372111
27316,"US",4,-0.105644264923076
27318,"US",8,0.043612583382036
27320,"US",3,-0.0708306933772622
27322,"US",4,-0.089572841199993
27325,"US",4,-0.117095553695574
27329,"US",4,-0.152733061720378
27332,"US",4,-0.079396352873656
27333,"US",4,-0.167888772721092
27334,"US",2,0.389281215647965
27335,"US",4,-0.138717298667674
27336,"US",4,-0.118454701369463
2750,"US",2,0.0720175338537001
2751,"US",4,-0.171166448230669
2753,"US",4,-0.087820453081252
33003,"US",5,0.12120983608805
33004,"US",5,-0.163024081115336
33007,"US",4,0.077927090442682
33010,"US",5,0.121528707724325
33014,"US",5,0.068307587427593
33015,"US",5,-0.186410903463399
33020,"US",5,0.182301765460265
33022,"US",6,-0.05441592552194
33023,"US",5,0.039347027162087
33025,"US",5,0.0400345179683199
33026,"US",5,-0.296329924596748
33111,"US",6,-0.115488854991881
33119,"US",5,0.15428151556118
33124,"US",5,-0.30658001222191
33128,"US",6,-0.132966166824895
33204,"US",5,-0.0789851561076014
33207,"US",7,0.155134890978525
33208,"US",4,-0.468977296517473
33211,"US",7,0.35351791896888
33212,"US",4,-0.342443927198402
33213,"US",4,-0.174980052808647
33214,"US",5,0.154924913850193
33218,"US",7,0.121108732967429
33220,"US",3,-0.123564894781193
33221,"US",7,-0.080072579425749
33222,"US",8,0.146906967419577
33224,"US",5,-0.618834054988601
33225,"US",5,-0.0542715926965117
33226,"US",7,-0.201067711395099
33227,"US",5,0.217779824214691
33901,"US",5,-0.259809371908811
33904,"US",5,-0.141107927748787
33906,"US",3,-0.0963603605266254
34002,"US",2,0.0426992486823153
34003,"US",2,0.0576693134788515
34004,"US",6,-0.25989426043354
34006,"US",4,-0.0466527701352878
34007,"US",6,-0.050654175482676
34008,"US",6,-0.055250198297117
34009,"US",6,-0.062219612065449
34010,"US",6,-0.089486436214632
34012,"US",2,0.0705970555038351
34013,"US",6,-0.054837107128164
34014,"US",2,0.394365400093903
34015,"US",2,0.0499133178252983
34016,"US",6,-0.064853079751427
34017,"US",2,0.120217985661643
34019,"US",4,-0.033968205774965
34020,"US",4,-0.04503272793104
34021,"US",6,-0.079093249062397
34022,"US",4,-0.035374352686854
34023,"US",6,-0.070994219514247
34024,"US",2,0.0413821252755631
34026,"US",6,-0.057517767402771
34027,"US",6,-0.064093742964333
34028,"US",6,-0.071825116498746
34029,"US",6,-0.064324759174075
34030,"US",6,-0.058954955674467
34031,"US",6,-0.053124000218488
34032,"US",6,-0.065023263641607
34033,"US",6,-0.052183609795868
34034,"US",2,0.038697577843083
34036,"US",6,-0.076075350742404
34037,"US",6,-0.08994246061677
34039,"US",6,-0.100928452172497
34040,"US",6,-0.111377977590441
34041,"US",6,-0.060766420401153
34042,"US",6,-0.05276775273784
34043,"US",6,-0.067326123833757
34045,"US",6,-0.061547318246299
34046,"US",6,-0.072495991803159
34048,"US",6,-0.094820003421797
34049,"US",6,-0.134424404751552
34050,"US",6,-0.091812803786824
34052,"US",6,-0.106036546295761
34053,"US",6,-0.057356824118744
34054,"US",2,0.0461905861426104
34055,"US",6,-0.12674972831565
34056,"US",2,0.0427744691844159
34057,"US",6,-0.066398529720556
34058,"US",2,0.0626344838696068
34059,"US",6,-0.100782985795786
34060,"US",6,-0.084818699373376
34061,"US",6,-0.097774802831319
34062,"US",6,-0.065307462297124
34063,"US",6,-0.055510041173011
34064,"US",6,-0.071133987975793
34066,"US",6,-0.096476329837902
34067,"US",6,-0.052284483191547
34068,"US",2,0.0477670864880745
34069,"US",2,0.0559822536017555
34070,"US",4,-0.076990385538826
34071,"US",6,-0.114601569373228
34072,"US",6,-0.046353161607507
34073,"US",6,-0.064571195309311
34074,"US",6,-0.0763407600574849
34075,"US",6,-0.07251197472534
34076,"US",6,-0.070891345048136
34077,"US",6,-0.0760458776158159
34078,"US",6,-0.059594776878073
34079,"US",6,-0.0745485577460819
34080,"US",6,-0.106462887966526
34081,"US",6,-0.098885984813306
34135,"US",4,-0.059753105618658
34301,"US",6,-0.047536288079692
34302,"US",2,0.0453986367782511
34304,"US",4,-0.02817518698752
34305,"US",2,0.0444670638151974
34306,"US",2,0.30384236647235
34307,"US",4,-0.048572615725743
34308,"US",6,-0.0602291634707289
34310,"US",6,-0.057934248216969
34900,"US",6,-0.092167877873049
35001,"US",2,0.129940583828468
35002,"US",2,0.0594804389360702
35004,"US",6,-0.10995808528917
35005,"US",6,-0.0666236035543629
35006,"US",6,-0.127469445551905
35007,"US",6,-0.126321653785975
35008,"US",6,-0.0868659771981221
35009,"US",6,-0.18398150793688
35010,"US",2,0.0429607192343634
35011,"US",2,0.049428864851678
35012,"US",6,-0.129053250788479
35013,"US",6,-0.116220427113511
35014,"US",6,-0.09385804077751
35015,"US",6,-0.081283904860258
35017,"US",6,-0.107919515638532
35019,"US",6,-0.127844721497119
35020,"US",6,-0.0658190126948369
35021,"US",4,0.080539581172864
35023,"US",6,-0.0811335015877012
35024,"US",6,-0.159019349282811
35025,"US",6,-0.0910679926275491
35026,"US",6,-0.211873350358667
35027,"US",6,-0.142932379659775
35028,"US",6,-0.087172347990236
35029,"US",6,-0.110550505657221
35030,"US",6,-0.0705873439459881
35031,"US",6,-0.142780561609613
35032,"US",6,-0.107243256300159
35034,"US",6,-0.147691081993468
35035,"US",6,-0.152669941372207
35036,"US",6,-0.142232517486282
35037,"US",6,-0.139143622189048
35038,"US",6,-0.161507376727512
35040,"US",6,-0.16152110007384
35041,"US",6,-0.168904802203021
35042,"US",6,-0.213780307092166
35101,"US",2,0.150010711459513
35103,"US",6,-0.17548325511097
35108,"US",6,-0.0867500763148099
35115,"US",6,-0.076691980473356
35201,"US",2,0.141233531957258
35301,"US",2,0.0860420140320222
35304,"US",6,-0.118156865943712
35900,"US",6,-0.0508301477539694
35903,"US",2,0.0406051266045024
36001,"US",6,0.0412700166593
36002,"US",6,0.057863118151403
36003,"US",7,-0.0831522145642998
36004,"US",7,-0.0751596355111769
36006,"US",4,-0.0303721641600816
36007,"US",2,0.0340271286183653
36008,"US",7,-0.0261900820813413
36009,"US",7,-0.0428909962156781
36010,"US",6,-0.037820343108583
36011,"US",7,-0.0663617178112346
36013,"US",2,0.0306182353712539
36014,"US",2,0.030491647966086
36015,"US",2,0.0359022564174765
36017,"US",4,-0.063391976585118
36018,"US",2,0.0720818594705518
36019,"US",2,0.0320855614973262
36021,"US",7,-0.0458746047551666
36022,"US",2,0.0260316750255929
36023,"US",7,-0.0401388991159908
36024,"US",2,0.0375333505107511
36025,"US",7,-0.0319746804923833
36026,"US",2,0.0378327417271503
36030,"US",7,-0.0675760504578471
36031,"US",7,-0.0403642878938432
36033,"US",2,0.040749670465353
36034,"US",7,-0.0731632492474906
36108,"US",7,-0.0262659255251119
36118,"US",2,0.0600835777973206
36123,"US",7,-0.0394154546614051
36131,"US",7,-0.0324347594919632
38001,"US",2,0.0378041872303442
38002,"US",7,-0.0712989712008902
38003,"US",7,-0.123785722438828
38004,"US",6,-0.09858912210916
38005,"US",6,-0.086612233107046
38006,"US",7,-0.048045077640878
38007,"US",7,-0.093875408166918
38008,"US",7,-0.164572052670441
38011,"US",6,-0.041954387819879
38012,"US",7,-0.329525306663595
38013,"US",2,0.219007840049299
38016,"US",6,-0.092950484601906
38017,"US",2,0.0318289959658527
38019,"US",6,-0.0745213103571339
38020,"US",7,-0.157839058038839
38022,"US",7,-0.072487197405062
38023,"US",7,-0.150685907415594
38024,"US",7,-0.213297671261275
38025,"US",7,-0.08530756052112
38026,"US",7,-0.0957736809965316
38028,"US",6,-0.165344255946856
38029,"US",6,-0.077016909419664
38031,"US",2,0.0391396730742382
38032,"US",2,0.0280180081978846
38033,"US",6,-0.060855458147444
38034,"US",6,-0.062472011635234
38035,"US",6,-0.094344230559224
38036,"US",7,-0.131882138154796
38037,"US",7,-0.14062418220019
38038,"US",7,-0.291225458885393
38105,"US",6,-0.116609833345138
38118,"US",7,-0.127291125267346
38301,"US",2,0.0442281860281615
38313,"US",2,0.0364820793388701
38317,"US",7,-0.0750757288316923
39001,"US",4,-0.102881098026221
39002,"US",6,-0.092115828612226
39005,"US",6,-0.052629055457887
39007,"US",6,-0.0555249526460241
39008,"US",2,0.0488693694261362
39009,"US",4,-0.097782493880454
39013,"US",4,-0.209288177872806
39014,"US",4,-0.111178846464537
39015,"US",4,-0.081764517940176
39017,"US",4,-0.12465573729725
39019,"US",4,-0.133029216098383
39020,"US",4,-0.112456224410688
39021,"US",4,-0.089414247849091
39022,"US",4,-0.0918409151633299
39023,"US",4,-0.097112713235994
39024,"US",2,0.0368695687901884
39028,"US",2,0.0320088469413452
39029,"US",2,0.0281843053806401
39031,"US",2,0.0360623637405556
39035,"US",6,-0.0990475724413831
39036,"US",6,-0.090053480695168
39039,"US",4,-0.0791996756148711
39040,"US",4,-0.0904838435443
39041,"US",4,-0.0782855539971949
39042,"US",4,-0.111974850971596
39043,"US",4,-0.104829193975522
39044,"US",4,-0.105518521733056
39045,"US",4,-0.135957706858893
39046,"US",4,-0.131697816087191
39112,"US",6,-0.078209950592684
39114,"US",4,-0.12363513423267
39117,"US",4,-0.128417150404564
39118,"US",4,-0.120439284793763
39119,"US",4,-0.129123241343486
39120,"US",4,-0.109045891713278
39124,"US",2,0.0290063471419543
39127,"US",2,0.0290205298071124
39132,"US",4,0.049009460186311
39133,"US",6,-0.06203441134948
39134,"US",6,-0.060013309487169
39137,"US",2,0.0302023300159117
39145,"US",4,-0.148243646145928
39146,"US",4,-0.177877810366019
39900,"US",2,0.0281089671926082
42004,"US",4,-0.0676791816496549
42005,"US",2,0.0277586360651485
42006,"US",7,-0.0232811575955283
42007,"US",8,-0.052616519559363
42009,"US",4,-0.3518263305197
42010,"US",4,-0.216493170851058
42011,"US",2,0.168660467331969
42013,"US",6,-0.089296435165781
42014,"US",5,0.0813302813362937
42015,"US",4,-0.0756033482480681
42016,"US",6,-0.176594124251109
42018,"US",6,-0.0603591222857329
42019,"US",4,-0.210327799747075
42020,"US",4,-0.228388647626066
42022,"US",4,-0.185796262152019
42026,"US",4,-0.205409956108234
42027,"US",4,-0.215171933176467
42028,"US",4,-0.292105942485415
42031,"US",6,-0.0986457177164399
42032,"US",4,-0.280508420986067
42033,"US",6,0.0047494055886438
42034,"US",6,-0.082802521339679
42037,"US",4,-0.280053234654462
42039,"US",4,-0.287602617923466
42040,"US",4,-0.153389371269251
42052,"US",6,-0.140122290256373
42055,"US",8,0.0988935463015634
42056,"US",6,-0.119336914577886
42057,"US",6,-0.0751524698172
42061,"US",4,-0.236630286786845
42101,"US",4,-0.0784235115727966
42105,"US",4,-0.0160926350109624
42106,"US",7,-0.0357914978675791
42108,"US",4,-0.18400819985262
42113,"US",6,-0.0892475164962661
42114,"US",5,0.0852620099124294
42119,"US",4,-0.211146652834212
42121,"US",6,-0.112754455405848
42122,"US",4,-0.242854725541971
42124,"US",4,-0.0924673216444325
42125,"US",4,-0.300420288784364
42128,"US",4,-0.290847651121639
42137,"US",4,-0.247990717063159
42207,"US",7,-0.056960898281109
42214,"US",5,0.0765911428238213
42221,"US",4,-0.11740303081428
42301,"US",4,-0.306287043065021
42313,"US",2,0.0354889679553489
42901,"US",8,-0.08494673396917
42906,"US",2,0.173588598204448
44001,"US",4,-0.150179728515348
44002,"US",4,-0.0872432436914859
44003,"US",4,-0.137265405974893
44004,"US",4,-0.108565458764076
44005,"US",4,-0.07213177251525
44006,"US",4,-0.060998460468293
44007,"US",4,-0.0942608234812949
44008,"US",6,-0.0791998273844594
44011,"US",4,-0.077548433751803
44014,"US",4,-0.0937141623330471
44016,"US",4,-0.0930745182838421
44018,"US",6,-0.0572538896732529
44019,"US",4,-0.157919441178918
44020,"US",4,-0.114386917875864
44021,"US",4,-0.089709146652123
44022,"US",4,-0.181952090775373
44023,"US",4,-0.078510867074439
44025,"US",4,-0.081138562496889
44031,"US",4,-0.147248263980637
44032,"US",4,-0.104254163541483
44033,"US",4,-0.221050978939762
44035,"US",4,-0.086388092425385
44036,"US",4,-0.131750881035816
44037,"US",4,-0.142539002143249
44038,"US",4,-0.146973065387042
44039,"US",4,-0.235771210945765
44041,"US",4,-0.203699108009354
44043,"US",4,-0.139838635408116
44046,"US",8,0.103604669355731
44047,"US",4,-0.092694172160703
44048,"US",4,-0.204309558979105
44049,"US",8,0.139153346285525
44050,"US",4,-0.16786007150255
44051,"US",4,-0.175767495428258
44052,"US",4,-0.139838170962995
44053,"US",8,0.110231744110971
44055,"US",4,-0.148117527473734
44058,"US",4,-0.125404967602592
44059,"US",4,-0.0942822655449389
44060,"US",4,-0.156516881006655
44117,"US",4,-0.145708651325019
44134,"US",4,-0.062338062132834
44144,"US",4,-0.150383350058555
44146,"US",3,-0.08461485484642
44147,"US",4,-0.075531650737136
44159,"US",4,-0.0945862251312239
44410,"US",4,-0.0916746956536211
46001,"US",2,0.059877688449117
46002,"US",2,0.041828035085759
46003,"US",4,-0.073773714512966
46006,"US",6,-0.157318349333455
46012,"US",2,0.265379812504017
46013,"US",6,-0.195161911871275
46014,"US",6,-0.191625361093097
46015,"US",6,-0.168683472358414
46018,"US",6,-0.147991016277988
46019,"US",2,0.17893399341385
46020,"US",2,0.190758299381142
46022,"US",2,0.256803341056386
46024,"US",2,0.242298743398923
46025,"US",6,-0.069240619403215
46026,"US",6,-0.099577678656164
46028,"US",2,0.136488060570763
46030,"US",4,-0.0642701705664129
46032,"US",2,0.105519422824039
46033,"US",2,0.10522356399008
46035,"US",4,-0.069324094069194
46036,"US",8,0.0671126958054569
46037,"US",8,0.061052140440919
46038,"US",4,-0.095749734963291
46039,"US",4,-0.119530193269846
46040,"US",4,-0.109003191195316
46041,"US",4,-0.119458955303701
46044,"US",4,-0.082985002240005
46045,"US",4,-0.194570507664579
46046,"US",4,-0.163699909348071
46047,"US",8,0.278566336705138
46049,"US",4,-0.20548015652247
46050,"US",8,0.190028516275273
46051,"US",2,0.0510891528263763
46052,"US",6,-0.081774161549709
46053,"US",4,-0.046024045833721
46054,"US",2,0.0429219411723866
46055,"US",2,0.0491305375040207
46102,"US",2,0.0385753938111836
46121,"US",2,0.220534123377651
46123,"US",6,-0.1753045905882
46124,"US",6,-0.098886890954428
46125,"US",6,-0.057500574546108
46145,"US",4,-0.19358908517706
46149,"US",4,-0.276685662792347
46150,"US",8,0.254653761863601
46900,"US",4,-0.036798918302689
46901,"US",6,-0.096367026971026
46902,"US",2,0.148160743637703
47001,"US",4,-0.033664619425529
47002,"US",4,-0.084242590474152
47006,"US",4,-0.183394598255168
47007,"US",4,-0.160713024750203
47008,"US",4,-0.120954634947976
47009,"US",4,-0.111969695094022
47010,"US",2,0.088083812722705
47013,"US",4,-0.138032814614344
47014,"US",6,-0.0536942523993626
47015,"US",6,-0.0573665986979698
47016,"US",6,-0.0478130461723414
47017,"US",4,-0.029418034534215
47019,"US",2,0.0203563352320865
47022,"US",6,-0.043330831622827
47102,"US",4,-0.088047202829238
47112,"US",2,0.045855871798862
47113,"US",4,-0.177828108723921
47115,"US",6,-0.0570865482585585
47120,"US",6,-0.0408569502800019
47900,"US",4,-0.0571079883474259
47901,"US",2,0.0458088635586239
49001,"US",4,-0.094222228790577
49003,"US",4,-0.094892536146932
49005,"US",4,-0.063183002605733
49009,"US",8,0.102556979529348
49011,"US",4,-0.113023667358129
49012,"US",4,-0.089174759237619
49014,"US",2,0.0233154755888001
49016,"US",2,0.0451932578387669
49017,"US",4,-0.111050097965271
49018,"US",4,-0.092623121115768
49019,"US",2,0.0515251126083988
49020,"US",6,-0.114357607252462
49021,"US",8,0.175667745342969
49022,"US",2,0.081108874910885
49023,"US",2,0.0281333884968402
49024,"US",4,-0.062992645547832
49025,"US",4,-0.089913209243505
49027,"US",4,-0.10402940742499
49031,"US",6,-0.149511787236338
49032,"US",6,-0.119136896500182
49033,"US",6,-0.127441963628437
49034,"US",6,-0.208065502466764
49035,"US",6,-0.121987234349705
49037,"US",6,-0.100348943904289
49038,"US",6,-0.159695100759303
49039,"US",6,-0.103065597187123
49041,"US",8,0.142672238679212
49044,"US",4,-0.072618585701814
49045,"US",4,-0.09372929749591
49046,"US",4,-0.162882283287738
49047,"US",5,0.122595115403604
49048,"US",4,-0.066318887967206
49049,"US",6,-0.136136761176422
49050,"US",8,0.171994523688758
49052,"US",6,-0.0959765785182289
49053,"US",6,-0.162196219255496
49055,"US",8,0.140043983787142
49056,"US",6,-0.168333366949717
49057,"US",6,-0.108267809017797
49058,"US",8,0.112251666579131
