"scale","mean.of.class","lc","tmax","tmin"
1,159.54012123468,0.0433446605305541,0.218501163585388,0.267973778788531
1,380.93921696154,0.0202231571175044,0.0497662170678083,0.103756389254869
1,627.764164894765,0.0309401076380829,0.0789274634384968,0.0770686091954986
1,875.015934200236,0.0160754620127088,-0.0282340835863346,0.0129129155351719
1,1123.5835653593,-0.00306573978640803,-0.0503200301668764,-0.0391586838808802
1,1372.56010158368,0.00681494415704349,-0.113229334690779,-0.0569651819532715
1,1620.53270288158,-0.0079550764037851,-0.0863460712577637,-0.0796409321946591
1,1868.9284374903,-0.0214166447538841,-0.0211602066000685,-0.0721724654108342
1,2121.81119731742,-0.0089160400234061,0.0396188262809547,-0.0390142894374355
1,2374.46368401308,-0.0673770723167676,0.10358186455471,0.0293347979724415
1,2625.47654854464,-0.0612059642098558,0.0855810768127857,0.0513784106137359
1,2873.89684418561,-0.0159803249962212,0.0931485186369784,0.0428765713800074
1,3121.45453514542,-0.0337173386717008,-0.0233540311042702,-0.0768948164281018
1,3368.43151214885,-0.0368353686547863,-0.0618877480895011,0.13328482954931
1,3621.52700118323,-0.00897347674051151,-0.328977633158701,-0.385149596556723
1,3861.61456489457,-0.0174950223959184,0.00787114708666694,-0.456927688842442
1,4096.79361470746,0.0410334527569972,0.224537430877862,-0.218207326171529
1,4366.52855298473,0.0402113444024765,-0.496914067248073,-0.684975033720221
1,4602.39982839795,0.0790672373377981,1.17067823755117,-0.705689627520686
1,4829.86584052588,-0.212289395784262,1.34432089706399,-1.09949357326703
1,5033.31210917219,NA,NA,NA
2,159.54012123468,0.117002755928211,0.252373205928041,0.290844403212984
2,380.93921696154,0.048124094246008,0.0744066022182271,0.116110225019541
2,627.764164894765,0.0422273810863232,0.0650481428079451,0.0923151376428979
2,875.015934200236,0.0203372088619265,-0.0276760976794102,0.0187052959316935
2,1123.5835653593,0.0092663224268097,-0.0706979217817857,-0.0479326186017644
2,1372.56010158368,0.0170359754329396,-0.118540300777661,-0.0578520427106972
2,1620.53270288158,-0.00799444835802033,-0.0822989110089482,-0.0881236416637081
2,1868.9284374903,-0.0600526135189319,-0.0144485675408417,-0.0750371807373495
2,2121.81119731742,-0.0710268473413453,0.0616582309152651,-0.031702370276236
2,2374.46368401308,-0.0948153992161282,0.127718507133496,0.0461450017431326
2,2625.47654854464,-0.0728652675319158,0.0959818523650795,0.0581823968200758
2,2873.89684418561,-0.0100379911027445,0.0649467382922053,0.0583666285222801
2,3121.45453514542,-0.076498686511581,-0.0290338166857426,-0.10549876079493
2,3368.43151214885,-0.0309379130729342,-0.121808608953693,0.067668356471944
2,3621.52700118323,-0.0138128123881806,-0.301688233721456,-0.316153501576769
2,3861.61456489457,-0.0224692322150068,0.0359700902904591,-0.514400013191165
2,4096.79361470746,-0.0214002912685172,0.34752324945868,-0.25988505473405
2,4366.52855298473,0.0393346751896565,-0.339807750004185,-0.682242956953542
2,4602.39982839795,0.121002273749073,1.44757216752679,-0.779490940287547
2,4829.86584052588,-0.210240555271548,1.63182281662344,-1.25902198595333
2,5033.31210917219,NA,NA,NA
3,159.54012123468,0.139978833724185,0.279714395904649,0.300593585956671
3,380.93921696154,0.0762090320485354,0.0499775842578869,0.1044246215091
3,627.764164894765,0.087230348350517,0.0614418334773166,0.0756890526802136
3,875.015934200236,0.0533298103521138,-0.0262390550021089,0.0025623850672808
3,1123.5835653593,0.0461762642524824,-0.0724142373460393,-0.0570069124553384
3,1372.56010158368,0.0290826887780177,-0.10909780287143,-0.0589604725015481
3,1620.53270288158,-0.0142506413556742,-0.0773035869711175,-0.0974315707864348
3,1868.9284374903,-0.0931884337120063,0.00330912876042256,-0.0758727274600181
3,2121.81119731742,-0.118274371176478,0.059594639909852,-0.0254593101799812
3,2374.46368401308,-0.176646236007707,0.118217187767881,0.0481422703772801
3,2625.47654854464,-0.128448164643883,0.102839791929735,0.0546890725256441
3,2873.89684418561,-0.111490096942817,0.0686869547329007,0.0554800623422217
3,3121.45453514542,-0.0974384337829975,-0.0415508784053846,-0.0666332485163075
3,3368.43151214885,-0.0362306801560152,-0.139408084947985,0.154516037500807
3,3621.52700118323,-0.0550448343945106,-0.28994339534043,-0.216773297582665
3,3861.61456489457,-0.00651568950330246,0.0241530989664762,-0.471259863533257
3,4096.79361470746,0.0619376697724392,0.2333336878072,-0.250191571864451
3,4366.52855298473,0.0535207024025426,-0.110499845480035,-0.418375798023848
3,4602.39982839795,0.0821400371478,1.02256224213697,-0.870117203091992
3,4829.86584052588,-0.143066742140279,-0.0692622118556897,-0.91950466333583
3,5033.31210917219,NA,NA,NA
4,159.54012123468,0.169130253208558,0.299958086889628,0.348005246892165
4,380.93921696154,0.0831204419379988,0.0504970098345959,0.122678555287258
4,627.764164894765,0.0793054798454375,0.0636543055823706,0.0932912273309275
4,875.015934200236,0.070249507694065,-0.019360101466783,0.000636276827663498
4,1123.5835653593,0.0742735600912412,-0.078910105835754,-0.0679383845687825
4,1372.56010158368,0.0406624489651143,-0.104174092222523,-0.0645707871279674
4,1620.53270288158,-0.0236179583392666,-0.0793775097448509,-0.128412399451124
4,1868.9284374903,-0.113443714360967,-0.0145753987269241,-0.0917063481658518
4,2121.81119731742,-0.11380404163345,0.0488691345711374,-0.022801117531678
4,2374.46368401308,-0.141549829414857,0.11538162793361,0.0580836568365128
4,2625.47654854464,-0.152849333387458,0.126140709163498,0.0725637368466709
4,2873.89684418561,-0.153798561845735,0.0991443882851767,0.0885250881694713
4,3121.45453514542,-0.132105211742386,-0.0263354235943733,-0.0350893085262458
4,3368.43151214885,-0.0696674135070749,-0.163314324251611,0.132215646802481
4,3621.52700118323,-0.0700363536416799,-0.341034969631609,-0.218302296862224
4,3861.61456489457,-0.0307386393335378,-0.0110573137519976,-0.499236564421244
4,4096.79361470746,0.0644387324044443,0.158083526878254,-0.294544999206421
4,4366.52855298473,-0.0565495212202778,0.0189121400988367,-0.48886690505357
4,4602.39982839795,-0.144149062736639,0.382965699304452,-0.909047139146586
4,4829.86584052588,-0.105304295611159,0.265656179481365,0.223239438165043
4,5033.31210917219,-0.180320500530183,0.509027379991658,0.441877280256817
5,159.54012123468,0.176862029466797,0.30027662990137,0.363742299134543
5,380.93921696154,0.0738772540104371,0.0451762290157265,0.121063596549868
5,627.764164894765,0.0715560695514234,0.0342310609015838,0.0761174896872084
