"SPEC","COMMONNAME","SCINAME","SPEC6","species_id","aou","french_common_name","spanish_common_name","sporder","family","genus","species"
"BANS","Bank Swallow","Riparia riparia","RIPRIP",1024,6160,"Hirondelle de rivage","Riparia riparia","Passeriformes","Hirundinidae","Riparia","riparia"
"CLSW","Cliff Swallow","Petrochelidon pyrrhonota","PETPYR",1025,6120,"Hirondelle à front blanc","Petrochelidon pyrrhonota","Passeriformes","Hirundinidae","Petrochelidon","pyrrhonota"
"CASW","Cave Swallow","Petrochelidon fulva","PETFUL",1026,6121,"Hirondelle à front brun","Petrochelidon fulva","Passeriformes","Hirundinidae","Petrochelidon","fulva"
"BARS","Barn Swallow","Hirundo rustica","HIRRUS",1028,6130,"Hirondelle rustique","Hirundo rustica","Passeriformes","Hirundinidae","Hirundo","rustica"
"CACH","Carolina Chickadee","Poecile carolinensis","POECAR",1030,7360,"Mésange de Caroline","Poecile carolinensis","Passeriformes","Paridae","Poecile","carolinensis"
"BCCH","Black-capped Chickadee","Poecile atricapillus","POEATR",1031,7350,"Mésange à tête noire","Poecile atricapillus","Passeriformes","Paridae","Poecile","atricapillus"
"MOCH","Mountain Chickadee","Poecile gambeli","POEGAM",1032,7380,"Mésange de Gambel","Poecile gambeli","Passeriformes","Paridae","Poecile","gambeli"
"MECH","Mexican Chickadee","Poecile sclateri","POESCL",1033,7370,"Mésange grise","Poecile sclateri","Passeriformes","Paridae","Poecile","sclateri"
"CBCH","Chestnut-backed Chickadee","Poecile rufescens","POERUF",1034,7410,"Mésange à dos marron","Poecile rufescens","Passeriformes","Paridae","Poecile","rufescens"
"BOCH","Boreal Chickadee","Poecile hudsonicus","POEHUD",1035,7400,"Mésange à tête brune","Poecile hudsonicus","Passeriformes","Paridae","Poecile","hudsonicus"
"BRTI","Bridled Titmouse","Baeolophus wollweberi","BAEWOL",1041,7340,"Mésange arlequin","Baeolophus wollweberi","Passeriformes","Paridae","Baeolophus","wollweberi"
"OATI","Oak Titmouse","Baeolophus inornatus","BAEINO",1042,7330,"Mésange unicolore","Baeolophus inornatus","Passeriformes","Paridae","Baeolophus","inornatus"
"JUTI","Juniper Titmouse","Baeolophus ridgwayi","BAERID",1043,7331,"Mésange des genévriers","Baeolophus ridgwayi","Passeriformes","Paridae","Baeolophus","ridgwayi"
"TUTI","Tufted Titmouse","Baeolophus bicolor","BAEBIC",1045,7310,"Mésange bicolore","Baeolophus bicolor","Passeriformes","Paridae","Baeolophus","bicolor"
"BCTI","Black-crested Titmouse","Baeolophus atricristatus","BAEATR",1046,7320,"Mésange à plumet noir","Baeolophus atricristatus","Passeriformes","Paridae","Baeolophus","atricristatus"
"VERD","Verdin","Auriparus flaviceps","AURFLA",1048,7460,"Auripare verdin","Auriparus flaviceps","Passeriformes","Remizidae","Auriparus","flaviceps"
"BUSH","Bushtit","Psaltriparus minimus","PSAMIN",1049,7430,"Mésange buissonnière","Psaltriparus minimus","Passeriformes","Aegithalidae","Psaltriparus","minimus"
"RBNU","Red-breasted Nuthatch","Sitta canadensis","SITCAN",1050,7280,"Sittelle à poitrine rousse","Sitta canadensis","Passeriformes","Sittidae","Sitta","canadensis"
"WBNU","White-breasted Nuthatch","Sitta carolinensis","SITCAR",1051,7270,"Sittelle à poitrine blanche","Sitta carolinensis","Passeriformes","Sittidae","Sitta","carolinensis"
"PYNU","Pygmy Nuthatch","Sitta pygmaea","SITPYG",1052,7300,"Sittelle pygmée","Sitta pygmaea","Passeriformes","Sittidae","Sitta","pygmaea"
"BHNU","Brown-headed Nuthatch","Sitta pusilla","SITPUS",1053,7290,"Sittelle à tête brune","Sitta pusilla","Passeriformes","Sittidae","Sitta","pusilla"
"BRCR","Brown Creeper","Certhia americana","CERAME",1054,7260,"Grimpereau brun","Certhia americana","Passeriformes","Certhiidae","Certhia","americana"
"ROWR","Rock Wren","Salpinctes obsoletus","SALOBS",1055,7150,"Troglodyte des rochers","Salpinctes obsoletus","Passeriformes","Troglodytidae","Salpinctes","obsoletus"
"CANW","Canyon Wren","Catherpes mexicanus","CAPMEX",1057,7170,"Troglodyte des canyons","Catherpes mexicanus","Passeriformes","Troglodytidae","Catherpes","mexicanus"
"HOWR","House Wren","Troglodytes aedon","TROAED",1060,7210,"Troglodyte familier","Troglodytes aedon","Passeriformes","Troglodytidae","Troglodytes","aedon"
"PAWR","Pacific Wren","Troglodytes pacificus","TROPAC",1064,7221,"Troglodyte de Baird","Troglodytes pacificus","Passeriformes","Troglodytidae","Troglodytes","pacificus"
"WIWR","Winter Wren","Troglodytes hiemalis","TROHIE",1065,7222,"Troglodyte des forêts","Troglodytes hiemalis","Passeriformes","Troglodytidae","Troglodytes","hiemalis"
"SEWR","Sedge Wren","Cistothorus platensis","CISPLA",1067,7240,"Troglodyte à bec court","Cistothorus platensis","Passeriformes","Troglodytidae","Cistothorus","platensis"
"MAWR","Marsh Wren","Cistothorus palustris","CISPAL",1068,7250,"Troglodyte des marais","Cistothorus palustris","Passeriformes","Troglodytidae","Cistothorus","palustris"
"CARW","Carolina Wren","Thryothorus ludovicianus","THRLUD",1069,7180,"Troglodyte de Caroline","Thryothorus ludovicianus","Passeriformes","Troglodytidae","Thryothorus","ludovicianus"
"BEWR","Bewick's Wren","Thryomanes bewickii","THRBEW",1070,7190,"Troglodyte de Bewick","Thryomanes bewickii","Passeriformes","Troglodytidae","Thryomanes","bewickii"
"CACW","Cactus Wren","Campylorhynchus brunneicapillus","CAMBRU",1078,7130,"Troglodyte des cactus","Campylorhynchus brunneicapillus","Passeriformes","Troglodytidae","Campylorhynchus","brunneicapillus"
"SIWR","Sinaloa Wren","Thryophilus sinaloa","THRSIN",1082,16600,"Troglodyte du Sinaloa","Thryophilus sinaloa","Passeriformes","Troglodytidae","Thryophilus","sinaloa"
"BGGN","Blue-gray Gnatcatcher","Polioptila caerulea","POLCAE",1089,7510,"Gobemoucheron gris-bleu","Polioptila caerulea","Passeriformes","Polioptilidae","Polioptila","caerulea"
"CAGN","California Gnatcatcher","Polioptila californica","POLCAL",1090,7530,"Gobemoucheron de Californie","Polioptila californica","Passeriformes","Polioptilidae","Polioptila","californica"
"BTGN","Black-tailed Gnatcatcher","Polioptila melanura","POLMEL",1091,7520,"Gobemoucheron à queue noire","Polioptila melanura","Passeriformes","Polioptilidae","Polioptila","melanura"
"GCKI","Golden-crowned Kinglet","Regulus satrapa","REGSAT",1099,7480,"Roitelet à couronne dorée","Regulus satrapa","Passeriformes","Regulidae","Regulus","satrapa"
"RCKI","Ruby-crowned Kinglet","Regulus calendula","REGCAL",1100,7490,"Roitelet à couronne rubis","Regulus calendula","Passeriformes","Regulidae","Regulus","calendula"
"ARWA","Arctic Warbler","Phylloscopus borealis","PHYBOR",1107,7470,"Pouillot boréal","Phylloscopus borealis","Passeriformes","Phylloscopidae","Phylloscopus","borealis"
"WREN","Wrentit","Chamaea fasciata","CHAFAS",1110,7420,"Cama brune","Chamaea fasciata","Passeriformes","Sylviidae","Chamaea","fasciata"
"BLUE","Bluethroat","Cyanecula svecica","CYASVE",1120,7640,"Gorgebleue à miroir","Luscinia svecica","Passeriformes","Muscicapidae","Luscinia","svecica"
"NOWH","Northern Wheatear","Oenanthe oenanthe","OENOEN",1127,7650,"Traquet motteux","Oenanthe oenanthe","Passeriformes","Muscicapidae","Oenanthe","oenanthe"
"EABL","Eastern Bluebird","Sialia sialis","SIASIA",1129,7660,"Merlebleu de l'Est","Sialia sialis","Passeriformes","Turdidae","Sialia","sialis"
"WEBL","Western Bluebird","Sialia mexicana","SIAMEX",1130,7670,"Merlebleu de l'Ouest","Sialia mexicana","Passeriformes","Turdidae","Sialia","mexicana"
"MOBL","Mountain Bluebird","Sialia currucoides","SIACUR",1131,7680,"Merlebleu azuré","Sialia currucoides","Passeriformes","Turdidae","Sialia","currucoides"
"TOSO","Townsend's Solitaire","Myadestes townsendi","MYATOW",1132,7540,"Solitaire de Townsend","Myadestes townsendi","Passeriformes","Turdidae","Myadestes","townsendi"
"VEER","Veery","Catharus fuscescens","CATFUN",1140,7560,"Grive fauve","Catharus fuscescens","Passeriformes","Turdidae","Catharus","fuscescens"
"GCTH","Gray-cheeked Thrush","Catharus minimus","CATMIN",1141,7570,"Grive à joues grises","Catharus minimus","Passeriformes","Turdidae","Catharus","minimus"
"BITH","Bicknell's Thrush","Catharus bicknelli","CATBIC",1142,7571,"Grive de Bicknell","Catharus bicknelli","Passeriformes","Turdidae","Catharus","bicknelli"
"SWTH","Swainson's Thrush","Catharus ustulatus","CATUST",1143,7580,"Grive à dos olive","Catharus ustulatus","Passeriformes","Turdidae","Catharus","ustulatus"
"HETH","Hermit Thrush","Catharus guttatus","CATGUT",1144,7590,"Grive solitaire","Catharus guttatus","Passeriformes","Turdidae","Catharus","guttatus"
"WOTH","Wood Thrush","Hylocichla mustelina","HYLMUS",1145,7550,"Grive des bois","Hylocichla mustelina","Passeriformes","Turdidae","Hylocichla","mustelina"
"AMRO","American Robin","Turdus migratorius","TURMIG",1158,7610,"Merle d'Amérique","Turdus migratorius","Passeriformes","Turdidae","Turdus","migratorius"
"VATH","Varied Thrush","Ixoreus naevius","IXONAE",1160,7630,"Grive à collier","Ixoreus naevius","Passeriformes","Turdidae","Ixoreus","naevius"
"GRCA","Gray Catbird","Dumetella carolinensis","DUMCAR",1165,7040,"Moqueur chat","Dumetella carolinensis","Passeriformes","Mimidae","Dumetella","carolinensis"
"CBTH","Curve-billed Thrasher","Toxostoma curvirostre","TOXCUR",1166,7070,"Moqueur à bec courbe","Toxostoma curvirostre","Passeriformes","Mimidae","Toxostoma","curvirostre"
"BRTH","Brown Thrasher","Toxostoma rufum","TOXRUF",1168,7050,"Moqueur roux","Toxostoma rufum","Passeriformes","Mimidae","Toxostoma","rufum"
"LBTH","Long-billed Thrasher","Toxostoma longirostre","TOXLON",1169,7060,"Moqueur à long bec","Toxostoma longirostre","Passeriformes","Mimidae","Toxostoma","longirostre"
"BETH","Bendire's Thrasher","Toxostoma bendirei","TOXBEN",1171,7080,"Moqueur de Bendire","Toxostoma bendirei","Passeriformes","Mimidae","Toxostoma","bendirei"
"CATH","California Thrasher","Toxostoma redivivum","TOXRED",1173,7100,"Moqueur de Californie","Toxostoma redivivum","Passeriformes","Mimidae","Toxostoma","redivivum"
"CRTH","Crissal Thrasher","Toxostoma crissale","TOXCRI",1175,7120,"Moqueur cul-roux","Toxostoma crissale","Passeriformes","Mimidae","Toxostoma","crissale"
"SATH","Sage Thrasher","Oreoscoptes montanus","OREMON",1176,7020,"Moqueur des armoises","Oreoscoptes montanus","Passeriformes","Mimidae","Oreoscoptes","montanus"
"BAMO","Bahama Mockingbird","Mimus gundlachii","MIMGUN",1177,7031,"Moqueur des Bahamas","Mimus gundlachii","Passeriformes","Mimidae","Mimus","gundlachii"
"NOMO","Northern Mockingbird","Mimus polyglottos","MIMPOL",1180,7030,"Moqueur polyglotte","Mimus polyglottos","Passeriformes","Mimidae","Mimus","polyglottos"
"EUST","European Starling","Sturnus vulgaris","STUVUL",1181,4930,"Étourneau sansonnet","Sturnus vulgaris","Passeriformes","Sturnidae","Sturnus","vulgaris"
"COMY","Common Myna","Acridotheres tristis","ACRTRI",1182,4932,"Martin triste","Acridotheres tristis","Passeriformes","Sturnidae","Acridotheres","tristis"
"BOWA","Bohemian Waxwing","Bombycilla garrulus","BOMGAR",1184,6180,"Jaseur boréal","Bombycilla garrulus","Passeriformes","Bombycillidae","Bombycilla","garrulus"
"CEDW","Cedar Waxwing","Bombycilla cedrorum","BOMCED",1185,6190,"Jaseur d'Amérique","Bombycilla cedrorum","Passeriformes","Bombycillidae","Bombycilla","cedrorum"
"PHAI","Phainopepla","Phainopepla nitens","PHANIT",1188,6200,"Phénopèple luisant","Phainopepla nitens","Passeriformes","Ptiliogonatidae","Phainopepla","nitens"
"OLWA","Olive Warbler","Peucedramus taeniatus","PEUTAE",1189,6510,"Fauvine des pins","Peucedramus taeniatus","Passeriformes","Peucedramidae","Peucedramus","taeniatus"
"NRBI","Northern Red Bishop","Euplectes franciscanus","EUPFRA",1191,19500,"Euplecte franciscain","Euplectes franciscanus","Passeriformes","Ploceidae","Euplectes","franciscanus"
"HOSP","House Sparrow","Passer domesticus","PASDOM",1195,6882,"Moineau domestique","Passer domesticus","Passeriformes","Passeridae","Passer","domesticus"
"ETSP","Eurasian Tree Sparrow","Passer montanus","PASMON",1196,6883,"Moineau friquet","Passer montanus","Passeriformes","Passeridae","Passer","montanus"
"EYWA","Eastern Yellow Wagtail","Motacilla tschutschensis","MOTTSC",1197,6960,"Bergeronnette de Béringie","Motacilla tschutschensis","Passeriformes","Motacillidae","Motacilla","tschutschensis"
"WHWA","White Wagtail","Motacilla alba","MOTALB",1200,6940,"Bergeronnette grise","Motacilla alba","Passeriformes","Motacillidae","Motacilla","alba"
"RTPI","Red-throated Pipit","Anthus cervinus","ANTCER",1204,6990,"Pipit à gorge rousse","Anthus cervinus","Passeriformes","Motacillidae","Anthus","cervinus"
"AMPI","American Pipit","Anthus rubescens","ANTRUB",1205,6970,"Pipit d'Amérique","Anthus rubescens","Passeriformes","Motacillidae","Anthus","rubescens"
"SPPI","Sprague's Pipit","Anthus spragueii","ANTSPR",1206,7000,"Pipit de Sprague","Anthus spragueii","Passeriformes","Motacillidae","Anthus","spragueii"
"EVGR","Evening Grosbeak","Coccothraustes vespertinus","COCVES",1243,5140,"Gros-bec errant","Coccothraustes vespertinus","Passeriformes","Fringillidae","Coccothraustes","vespertinus"
"PIGR","Pine Grosbeak","Pinicola enucleator","PINENU",1219,5150,"Durbec des sapins","Pinicola enucleator","Passeriformes","Fringillidae","Pinicola","enucleator"
"GCRF","Gray-crowned Rosy-Finch","Leucosticte tephrocotis","LEUTEP",1216,5240,"Roselin à tête grise","Leucosticte tephrocotis","Passeriformes","Fringillidae","Leucosticte","tephrocotis"
"BLRF","Black Rosy-Finch","Leucosticte atrata","LEUATT",1217,5250,"Roselin noir","Leucosticte atrata","Passeriformes","Fringillidae","Leucosticte","atrata"
"BCRF","Brown-capped Rosy-Finch","Leucosticte australis","LEUAUS",1218,5260,"Roselin à tête brune","Leucosticte australis","Passeriformes","Fringillidae","Leucosticte","australis"
"HOFI","House Finch","Haemorhous mexicanus","HAEMEX",1222,5190,"Roselin familier","Haemorhous mexicanus","Passeriformes","Fringillidae","Haemorhous","mexicanus"
"PUFI","Purple Finch","Haemorhous purpureus","HAEPUR",1223,5170,"Roselin pourpré","Haemorhous purpureus","Passeriformes","Fringillidae","Haemorhous","purpureus"
"CAFI","Cassin's Finch","Haemorhous cassinii","HAECAS",1224,5180,"Roselin de Cassin","Haemorhous cassinii","Passeriformes","Fringillidae","Haemorhous","cassinii"
"CORE","Common Redpoll","Acanthis flammea","ACAFLA",1229,5280,"Sizerin flammé","Acanthis flammea","Passeriformes","Fringillidae","Acanthis","flammea"
"HORE","Hoary Redpoll","Acanthis hornemanni","ACAHOR",1230,5270,"Sizerin blanchâtre","Acanthis hornemanni","Passeriformes","Fringillidae","Acanthis","hornemanni"
"RECR","Red Crossbill","Loxia curvirostra","LOXCUR",1226,5210,"Bec-croisé des sapins","Loxia curvirostra","Passeriformes","Fringillidae","Loxia","curvirostra"
"WWCR","White-winged Crossbill","Loxia leucoptera","LOXLEU",1227,5220,"Bec-croisé bifascié","Loxia leucoptera","Passeriformes","Fringillidae","Loxia","leucoptera"
"PISI","Pine Siskin","Spinus pinus","SPIPIN",1233,5330,"Tarin des pins","Spinus pinus","Passeriformes","Fringillidae","Spinus","pinus"
"LEGO","Lesser Goldfinch","Spinus psaltria","SPIPSA",1236,5300,"Chardonneret mineur","Spinus psaltria","Passeriformes","Fringillidae","Spinus","psaltria"
"LAGO","Lawrence's Goldfinch","Spinus lawrencei","SPILAW",1237,5310,"Chardonneret gris","Spinus lawrencei","Passeriformes","Fringillidae","Spinus","lawrencei"
"AMGO","American Goldfinch","Spinus tristis","SPITRI",1238,5290,"Chardonneret jaune","Spinus tristis","Passeriformes","Fringillidae","Spinus","tristis"
"LALO","Lapland Longspur","Calcarius lapponicus","CALLAP",1245,5360,"Plectrophane lapon","Calcarius lapponicus","Passeriformes","Calcariidae","Calcarius","lapponicus"
"CCLO","Chestnut-collared Longspur","Calcarius ornatus","CALORN",1246,5380,"Plectrophane à ventre noir","Calcarius ornatus","Passeriformes","Calcariidae","Calcarius","ornatus"
"SMLO","Smith's Longspur","Calcarius pictus","CALPIC",1247,5370,"Plectrophane de Smith","Calcarius pictus","Passeriformes","Calcariidae","Calcarius","pictus"
"MCLO","McCown's Longspur","Rhynchophanes mccownii","RHYMCC",1248,5390,"Plectrophane de McCown","Rhynchophanes mccownii","Passeriformes","Calcariidae","Rhynchophanes","mccownii"
"SNBU","Snow Bunting","Plectrophenax nivalis","PLENIV",1249,5340,"Plectrophane des neiges","Plectrophenax nivalis","Passeriformes","Calcariidae","Plectrophenax","nivalis"
"OLSP","Olive Sparrow","Arremonops rufivirgatus","ARRRUF",1352,5860,"Tohi olive","Arremonops rufivirgatus","Passeriformes","Emberizidae","Arremonops","rufivirgatus"
"GTTO","Green-tailed Towhee","Pipilo chlorurus","PIPCHL",1357,5900,"Tohi à queue verte","Pipilo chlorurus","Passeriformes","Emberizidae","Pipilo","chlorurus"
"SPTO","Spotted Towhee","Pipilo maculatus","PIPMAC",1358,5880,"Tohi tacheté","Pipilo maculatus","Passeriformes","Emberizidae","Pipilo","maculatus"
"EATO","Eastern Towhee","Pipilo erythrophthalmus","PIPERY",1359,5870,"Tohi à flancs roux","Pipilo erythrophthalmus","Passeriformes","Emberizidae","Pipilo","erythrophthalmus"
"RCSP","Rufous-crowned Sparrow","Aimophila ruficeps","AIMRUP",1362,5800,"Tohi à calotte fauve","Aimophila ruficeps","Passeriformes","Emberizidae","Aimophila","ruficeps"
"CANT","Canyon Towhee","Melozone fusca","MEZFUS",1367,5910,"Tohi des canyons","Melozone fusca","Passeriformes","Emberizidae","Melozone","fusca"
"CALT","California Towhee","Melozone crissalis","MELCRI",1369,5911,"Tohi de Californie","Melozone crissalis","Passeriformes","Emberizidae","Melozone","crissalis"
"ABTO","Abert's Towhee","Melozone aberti","MELABE",1370,5920,"Tohi d'Abert","Melozone aberti","Passeriformes","Emberizidae","Melozone","aberti"
"RWSP","Rufous-winged Sparrow","Peucaea carpalis","PEUCAR",1372,5790,"Bruant à épaulettes","Peucaea carpalis","Passeriformes","Emberizidae","Peucaea","carpalis"
"BOSP","Botteri's Sparrow","Peucaea botterii","PEUBOT",1376,5760,"Bruant de Botteri","Peucaea botterii","Passeriformes","Emberizidae","Peucaea","botterii"
"CASP","Cassin's Sparrow","Peucaea cassinii","PEUCAS",1377,5780,"Bruant de Cassin","Peucaea cassinii","Passeriformes","Emberizidae","Peucaea","cassinii"
"BACS","Bachman's Sparrow","Peucaea aestivalis","PEUAES",1378,5750,"Bruant des pinèdes","Peucaea aestivalis","Passeriformes","Emberizidae","Peucaea","aestivalis"
"ATSP","American Tree Sparrow","Spizelloides arborea","SPIARB",1380,5590,"Bruant hudsonien","Spizelloides arborea","Passeriformes","Emberizidae","Spizelloides","arborea"
"CHSP","Chipping Sparrow","Spizella passerina","SPIPAS",1381,5600,"Bruant familier","Spizella passerina","Passeriformes","Emberizidae","Spizella","passerina"
"CCSP","Clay-colored Sparrow","Spizella pallida","SPIPAL",1382,5610,"Bruant des plaines","Spizella pallida","Passeriformes","Emberizidae","Spizella","pallida"
"BRSP","Brewer's Sparrow","Spizella breweri","SPIBRE",1383,5620,"Bruant de Brewer","Spizella breweri","Passeriformes","Emberizidae","Spizella","breweri"
"FISP","Field Sparrow","Spizella pusilla","SPIPUS",1384,5630,"Bruant des champs","Spizella pusilla","Passeriformes","Emberizidae","Spizella","pusilla"
"BCSP","Black-chinned Sparrow","Spizella atrogularis","SPIATG",1386,5650,"Bruant à menton noir","Spizella atrogularis","Passeriformes","Emberizidae","Spizella","atrogularis"
"VESP","Vesper Sparrow","Pooecetes gramineus","POOGRA",1387,5400,"Bruant vespéral","Pooecetes gramineus","Passeriformes","Emberizidae","Pooecetes","gramineus"
"LASP","Lark Sparrow","Chondestes grammacus","CHOGRA",1388,5520,"Bruant à joues marron","Chondestes grammacus","Passeriformes","Emberizidae","Chondestes","grammacus"
"BTSP","Black-throated Sparrow","Amphispiza bilineata","AMPBIL",1390,5730,"Bruant à gorge noire","Amphispiza bilineata","Passeriformes","Emberizidae","Amphispiza","bilineata"
"SABS","Sagebrush Sparrow","Artemisiospiza nevadensis","ARTNEV",1391,5738,"Bruant des armoises","Artemisiospiza nevadensis","Passeriformes","Emberizidae","Artemisiospiza","nevadensis"
"BESP","Bell's Sparrow","Artemisiospiza belli","ARTBEL",1392,5739,"Bruant de Bell","Artemisiospiza belli","Passeriformes","Emberizidae","Artemisiospiza","belli"
"LARB","Lark Bunting","Calamospiza melanocorys","CALMEC",1394,6050,"Bruant noir et blanc","Calamospiza melanocorys","Passeriformes","Emberizidae","Calamospiza","melanocorys"
"SAVS","Savannah Sparrow","Passerculus sandwichensis","PASSAN",1395,5420,"Bruant des prés","Passerculus sandwichensis","Passeriformes","Emberizidae","Passerculus","sandwichensis"
"GRSP","Grasshopper Sparrow","Ammodramus savannarum","AMMSAV",1396,5460,"Bruant sauterelle","Ammodramus savannarum","Passeriformes","Emberizidae","Ammodramus","savannarum"
"BAIS","Baird's Sparrow","Centronyx bairdii","CENBAI",1397,5450,"Bruant de Baird","Ammodramus bairdii","Passeriformes","Emberizidae","Ammodramus","bairdii"
"HESP","Henslow's Sparrow","Centronyx henslowii","CENHEN",1398,5470,"Bruant de Henslow","Ammodramus henslowii","Passeriformes","Emberizidae","Ammodramus","henslowii"
"SESP","Seaside Sparrow","Ammospiza maritima","AMMMAR",1402,5500,"Bruant maritime","Ammodramus maritimus","Passeriformes","Emberizidae","Ammodramus","maritimus"
"NESP","Nelson's Sparrow","Ammospiza nelsoni","AMMNEL",1400,5491,"Bruant de Nelson","Ammodramus nelsoni","Passeriformes","Emberizidae","Ammodramus","nelsoni"
"SALS","Saltmarsh Sparrow","Ammospiza caudacuta","AMMCAU",1401,5490,"Bruant à queue aiguë","Ammodramus caudacutus","Passeriformes","Emberizidae","Ammodramus","caudacutus"
"FOSP","Fox Sparrow","Passerella iliaca","PASILI",1404,5850,"Bruant fauve","Passerella iliaca","Passeriformes","Emberizidae","Passerella","iliaca"
"SOSP","Song Sparrow","Melospiza melodia","MELMEL",1405,5810,"Bruant chanteur","Melospiza melodia","Passeriformes","Emberizidae","Melospiza","melodia"
"LISP","Lincoln's Sparrow","Melospiza lincolnii","MELLIN",1406,5830,"Bruant de Lincoln","Melospiza lincolnii","Passeriformes","Emberizidae","Melospiza","lincolnii"
"SWSP","Swamp Sparrow","Melospiza georgiana","MELGEO",1407,5840,"Bruant des marais","Melospiza georgiana","Passeriformes","Emberizidae","Melospiza","georgiana"
"WTSP","White-throated Sparrow","Zonotrichia albicollis","ZONALB",1409,5580,"Bruant à gorge blanche","Zonotrichia albicollis","Passeriformes","Emberizidae","Zonotrichia","albicollis"
"HASP","Harris's Sparrow","Zonotrichia querula","ZONQUE",1410,5530,"Bruant à face noire","Zonotrichia querula","Passeriformes","Emberizidae","Zonotrichia","querula"
"WCSP","White-crowned Sparrow","Zonotrichia leucophrys","ZONLEU",1411,5540,"Bruant à couronne blanche","Zonotrichia leucophrys","Passeriformes","Emberizidae","Zonotrichia","leucophrys"
"GCSP","Golden-crowned Sparrow","Zonotrichia atricapilla","ZONATR",1412,5570,"Bruant à couronne dorée","Zonotrichia atricapilla","Passeriformes","Emberizidae","Zonotrichia","atricapilla"
"YEJU","Yellow-eyed Junco","Junco phaeonotus","JUNPHA",1420,5700,"Junco aux yeux jaunes","Junco phaeonotus","Passeriformes","Emberizidae","Junco","phaeonotus"
"YBCH","Yellow-breasted Chat","Icteria virens","ICTVIR",1319,6830,"Paruline polyglotte","Icteria virens","Passeriformes","Parulidae","Icteria","virens"
"YHBL","Yellow-headed Blackbird","Xanthocephalus xanthocephalus","XANXAN",1470,4970,"Carouge à tête jaune","Xanthocephalus xanthocephalus","Passeriformes","Icteridae","Xanthocephalus","xanthocephalus"
"BOBO","Bobolink","Dolichonyx oryzivorus","DOLORY",1463,4940,"Goglu des prés","Dolichonyx oryzivorus","Passeriformes","Icteridae","Dolichonyx","oryzivorus"
"EAME","Eastern Meadowlark","Sturnella magna","STUMAG",1467,5010,"Sturnelle des prés","Sturnella magna","Passeriformes","Icteridae","Sturnella","magna"
"WEME","Western Meadowlark","Sturnella neglecta","STUNEG",1468,5011,"Sturnelle de l'Ouest","Sturnella neglecta","Passeriformes","Icteridae","Sturnella","neglecta"
"OROR","Orchard Oriole","Icterus spurius","ICTSPU",1486,5060,"Oriole des vergers","Icterus spurius","Passeriformes","Icteridae","Icterus","spurius"
"HOOR","Hooded Oriole","Icterus cucullatus","ICTCUC",1487,5050,"Oriole masqué","Icterus cucullatus","Passeriformes","Icteridae","Icterus","cucullatus"
"BUOR","Bullock's Oriole","Icterus bullockii","ICTBUL",1491,5080,"Oriole de Bullock","Icterus bullockii","Passeriformes","Icteridae","Icterus","bullockii"
"SBOR","Spot-breasted Oriole","Icterus pectoralis","ICTPEC",1493,5032,"Oriole maculé","Icterus pectoralis","Passeriformes","Icteridae","Icterus","pectoralis"
"ALOR","Altamira Oriole","Icterus gularis","ICTGUL",1494,5031,"Oriole à gros bec","Icterus gularis","Passeriformes","Icteridae","Icterus","gularis"
"AUOR","Audubon's Oriole","Icterus graduacauda","ICTGRA",1495,5030,"Oriole d'Audubon","Icterus graduacauda","Passeriformes","Icteridae","Icterus","graduacauda"
"BAOR","Baltimore Oriole","Icterus galbula","ICTGAL",1496,5070,"Oriole de Baltimore","Icterus galbula","Passeriformes","Icteridae","Icterus","galbula"
"SCOR","Scott's Oriole","Icterus parisorum","ICTPAR",1500,5040,"Oriole jaune-verdâtre","Icterus parisorum","Passeriformes","Icteridae","Icterus","parisorum"
"RWBL","Red-winged Blackbird","Agelaius phoeniceus","AGEPHO",1464,4980,"Carouge à épaulettes","Agelaius phoeniceus","Passeriformes","Icteridae","Agelaius","phoeniceus"
"TRBL","Tricolored Blackbird","Agelaius tricolor","AGETRI",1465,5000,"Carouge de Californie","Agelaius tricolor","Passeriformes","Icteridae","Agelaius","tricolor"
"SHCO","Shiny Cowbird","Molothrus bonariensis","MOLBON",1478,4961,"Vacher luisant","Molothrus bonariensis","Passeriformes","Icteridae","Molothrus","bonariensis"
"BROC","Bronzed Cowbird","Molothrus aeneus","MOLAEN",1479,4960,"Vacher bronzé","Molothrus aeneus","Passeriformes","Icteridae","Molothrus","aeneus"
"BHCO","Brown-headed Cowbird","Molothrus ater","MOLATE",1480,4950,"Vacher à tête brune","Molothrus ater","Passeriformes","Icteridae","Molothrus","ater"
"RUBL","Rusty Blackbird","Euphagus carolinus","EUPCAR",1472,5090,"Quiscale rouilleux","Euphagus carolinus","Passeriformes","Icteridae","Euphagus","carolinus"
"BRBL","Brewer's Blackbird","Euphagus cyanocephalus","EUPCYC",1473,5100,"Quiscale de Brewer","Euphagus cyanocephalus","Passeriformes","Icteridae","Euphagus","cyanocephalus"
"COGR","Common Grackle","Quiscalus quiscula","QUIQUI",1474,5110,"Quiscale bronzé","Quiscalus quiscula","Passeriformes","Icteridae","Quiscalus","quiscula"
"BTGR","Boat-tailed Grackle","Quiscalus major","QUIMAJ",1475,5130,"Quiscale des marais","Quiscalus major","Passeriformes","Icteridae","Quiscalus","major"
"GTGR","Great-tailed Grackle","Quiscalus mexicanus","QUIMEX",1476,5120,"Quiscale à longue queue","Quiscalus mexicanus","Passeriformes","Icteridae","Quiscalus","mexicanus"
