"scale","focal_rte","max_lc_class","max_lc","trend_tmax","trend_tmin","dir_all","dir_core"
1,2001,"Forest",-0.165447099825241,0.0452952660745342,0.0443300009913978,0.452225944694171,0.478704581208816
1,2007,NA,NA,NA,NA,0.442425673781416,0.438951729230082
1,2010,"Forest",-0.149441331893617,0.0496632603636841,0.0472081743818368,0.394652239041999,0.433417332730598
1,2017,"Forest",-0.135202959613606,0.0283304270822023,0.0869947234950256,0.438360829597425,0.471443149561928
1,2019,"Forest",-0.181391722968352,0.0327266414212737,0.0480558708295765,0.374668108484654,0.353664597082083
1,2020,NA,NA,NA,NA,0.428603198552185,0.416421467541842
1,2022,"Wetlands",0.0906664176258629,0.0183084299924811,0.019753776793582,0.479165543091913,0.47073834823011
1,2025,"Forest",-0.192139118055195,0.0371703551591231,0.0524501792143245,0.468841728586349,0.446477549226925
1,2029,NA,NA,NA,NA,0.406376293155113,0.412171934740713
1,2035,"Forest",-0.191485779202337,0.0394119392442417,0.0495986811273516,0.419284198296565,0.406725352437727
1,2036,NA,NA,NA,NA,0.442183293820303,0.434383940445858
1,2043,"Forest",-0.175940285061613,0.0282465309940075,0.0602835405114438,0.403021587990041,0.402901982837278
1,2045,NA,NA,NA,NA,0.417620968339852,0.407827375759153
1,2047,"Forest",-0.170885548940422,0.0296364900701323,0.0529821200016812,0.427273331171531,0.434571792430504
1,2050,NA,NA,NA,NA,0.422123204937356,0.458218533661825
1,2052,"Forest",-0.300908349618013,0.0304684458526548,0.0478247063608341,0.397030813164339,0.386815177320727
1,2053,"Forest",-0.179600148818265,0.00755623078347872,0.024868045817207,0.380254422097011,0.400604419790719
1,2054,"Forest",-0.16299653612205,0.061185090750304,0.0412664304699516,0.375769452718246,0.405410767465182
1,2057,NA,NA,NA,NA,0.389278615803165,0.405823708773912
1,2060,NA,NA,NA,NA,0.38690616725827,0.438752112742978
1,2065,NA,NA,NA,NA,0.381914855121623,0.391364988512393
1,2066,NA,NA,NA,NA,0.390968805044541,0.404169271972524
1,2072,"Forest",-0.128452811236714,0.0496151000522011,0.0455544044637031,0.434148343689361,0.429854932872507
1,2140,"Wetlands",0.116034880157187,0.0375159794823285,0.0310382338373189,0.432902390854908,0.454389827861193
1,2142,"Forest",-0.161859419216076,0.0275612427126307,0.0388571585653519,0.413770547381732,0.427074893721143
1,3021,NA,NA,NA,NA,0.349867765677771,0.378997609617296
1,3224,NA,NA,NA,NA,0.402035642930548,0.39872430306972
1,3429,NA,NA,NA,NA,0.384934863145708,0.381188253198524
1,4002,"Grasslands",-0.00782583089730863,0.029197216123855,-0.0106463078255466,0.397870104763671,0.445926342694907
1,4004,"Grasslands",-0.0939171594848546,0.0400092864446939,-0.0165742804085155,0.406572067201503,0.424430327485826
1,4007,"Grasslands",-0.0151963694462928,0.0363398054367868,-0.0317186355797748,0.445638017828764,0.458272267352162
1,4010,"Urban",0.000461588759902278,0.0691313622249639,0.0927958767466649,0.33612656597964,0.346669259997827
1,4014,NA,NA,NA,NA,0.384938493446269,0.394823030634036
1,4017,NA,NA,NA,NA,0.461459649980789,0.452137591814572
1,4018,"Agricultural",0.0598060717767788,0.0103835119159784,-0.00392312318098555,0.410999123425155,0.41640153412337
1,4027,"Forest",-0.0128518810839253,-0.00368393344386279,-0.0113293085324928,0.400041781084115,0.401820991482786
1,4028,"Forest",-0.00999776527912083,0.0372429115934913,-0.0459544006768834,0.407672155662617,0.443737139412238
1,4029,"Forest",-0.0231112993555548,0.0273668672112163,0.0112653798875095,0.397498362071427,0.396524460436395
1,4105,"Urban",0.000766137471223128,0.0892017750377149,0.0727085625287762,0.365097741282934,0.355017990838494
1,4113,"Grasslands",-0.0120543141303455,0.0252869493985402,-0.0170621404407175,0.362954046985985,0.366793936463096
1,4114,"Grasslands",-0.0107437737142968,0.0411572450607418,0.00281431113066054,0.428719060456346,0.433087299234456
1,4115,"Grasslands",-0.0167462207688406,0.0527895894421591,-0.0188084666312022,0.39083060663252,0.382922585643772
1,4128,"Forest",-0.00628409779753486,0.017170166567593,-0.0338003748627303,0.379642239665107,0.387915552240522
1,4129,"Forest",-0.027803696970672,0.0324281426995146,-0.0469629635271675,0.360026741169187,0.391022203918821
1,4196,"Urban",-0.00469225898010947,0.0125914579583231,0.272346612588442,0.41331517070542,0.348520427057866
1,6052,NA,NA,NA,NA,0.324336740881244,0.345068516234362
1,7020,"Forest",-0.0769123821705641,0.0385485690272783,0.0595909226965565,0.40432274337425,0.425918689036589
1,7023,NA,NA,NA,NA,0.389410875969862,0.388385310125374
1,7026,"Forest",-0.139183705409545,-0.0221818432382446,0.0244597645999222,0.38207408698491,0.361903114306807
1,7028,"Urban",0.0339377306234468,0.0398732949457613,0.0561843241382895,0.379782796972945,0.370688548321426
1,11007,"Forest",-0.0040288612972933,0.126105885027098,0.0198614336462742,0.427482690917487,0.451964281013493
1,11009,"Urban",0.000851453421835662,0.0804464564652206,-0.0451759964725199,0.411009743984804,0.409242789640321
1,11010,"Urban",0.0137824762422455,0.0252271391420955,0.00164141900102387,0.352356950681147,0.393392636140389
1,11029,"Forest",-0.015633297730785,0.0367925351360506,0.000815728917766322,0.419306129907903,0.391421035283097
1,11033,"Forest",-0.0079334780845125,0.044059785963347,-0.0824524155894015,0.40895665588221,0.415026981385885
1,11045,"Urban",0.0308640339837765,0.0386697198003436,-0.0317013685726094,0.358612845250392,0.347452534573814
1,11065,NA,NA,NA,NA,0.395588722992468,0.403505773271232
1,11208,"Urban",0.00903114876128369,0.105645922564872,-0.0688217198203766,0.339223690243932,0.373487441286939
