"aou","propFor","min_for","max_for","patchArea","std_patch","for_range"
4461,0.0219557756793292,0.0133055730496338,0.0306059783090246,22.7769454172718,4.99707717478381,0.0173004052593908
4470,0.0976378954758232,8.93760427429135e-05,0.451649306030835,130.952341920818,372.326228839222,0.451559929988092
4480,0.362169618478749,0.00423372060803582,0.849751744195929,750.175055981082,1063.30679275648,0.845518023587893
4490,0.0123444394241121,0.0123444394241121,0.0123444394241121,19.2434782608696,NA,0
4520,0.394884721215188,0.036532305905273,0.814614180851886,447.390866834203,1177.29318317385,0.778081874946613
4530,0.0556366187650555,0.0142667066751555,0.113855185636312,84.7558905844238,107.408818642809,0.0995884789611563
4540,0.212838346223507,7.33868043996848e-05,0.758643317418632,380.174549315756,741.722117897571,0.758569930614232
4560,0.434893115202665,0.0581575011107782,0.837599111809983,589.291048574716,1442.99894425351,0.779441610699204
4570,0.13908166186406,8.97024913129698e-05,0.58333074682274,233.488691098155,572.097573590305,0.583241044331427
4580,0.335246834604051,0.0308636296257464,0.761388994408591,693.245008131647,1239.6687946032,0.730525364782844
4590,0.648827734781521,0.320721945396999,0.897750078677663,3967.51239352256,10277.4595418431,0.577028133280664
4610,0.416891986743326,0.0472853535936829,0.82710963183266,520.862636140284,1480.85942068082,0.779824278238977
4620,0.422979119101083,0.000673816204626316,0.881610547122037,1946.21174343216,7470.60894704015,0.880936730917411
4630,0.670142298202566,0.318000846502592,0.925775652846795,4307.76246069789,8153.54815208877,0.607774806344203
4640,0.540712501847907,0.11371562967229,0.896347480232866,1216.87053435793,1310.39535927371,0.782631850560576
4641,0.554987308577282,0.109099537019877,0.878098744347553,1195.61609377856,1795.79563327943,0.768999207327676
4650,0.498725453639103,0.110937931009122,0.842055194323364,431.48676441694,509.931991920103,0.731117263314242
4660,0.365234419596448,0.00602188998522161,0.821220798805706,544.206562494871,1377.204851807,0.815198908820485
4661,0.541866713792811,0.0706510359502027,0.860649126889718,2217.78362194155,6921.2299275809,0.789998090939516
4670,0.490038969001652,0.00651727050173142,0.860805332524064,1564.34446546172,5434.98578170387,0.854288062022332
4679,0.441349876901795,0.441349876901795,0.441349876901795,302.053272450533,NA,0
4680,0.633426957372842,0.2393585743881,0.921177093232773,4442.34419852075,13303.5374838216,0.681818518844674
4689,0.446991093834572,0.446991093834572,0.446991093834572,313.248275862069,NA,0
4690,0.58734514075407,0.137677644055588,0.90604980932368,3735.90729819106,11424.7360142023,0.768372165268092
4691,0.530602916293321,0.12129896124456,0.834339798386294,1065.17718341996,1050.63831670159,0.713040837141733
4710,0.0684790240334209,0.0360537853125201,0.100904262754322,27.7010015647105,11.3892541859033,0.0648504774418016
4740,0.141786021589798,0.000219287816047156,0.439965170923753,113.083204122866,148.638406400953,0.439745883107706
4750,0.210840087267023,0.000220956956587439,0.809648963665215,428.894618423961,887.81982523511,0.809428006708627
4760,0.372216925579048,0.372216925579048,0.372216925579048,149.819413092551,NA,0
