"aou","english_common_name","mean_occ_trend","sd_occ_trend","routes"
2890,"Northern Bobwhite",-0.472792848692544,1.26665456881054,442
2940,"California Quail",0.223934687497202,0.940412432060714,52
3091,"Ring-necked Pheasant",-0.284102395625237,1.40847005773936,300
3100,"Wild Turkey",0.0966944876102459,0.439102082322132,266
3131,"Rock Pigeon",0.0989004884375097,1.09439421201425,718
3160,"Mourning Dove",0.0196884335517517,0.803575001071571,1174
3870,"Yellow-billed Cuckoo",-0.188171669097153,1.20793226620115,574
3880,"Black-billed Cuckoo",-0.0686258666200342,0.551373593904274,140
3930,"Hairy Woodpecker",0.0536698501981664,0.442288972573989,442
3940,"Downy Woodpecker",0.0582500638399936,1.43552553476194,874
4020,"Yellow-bellied Sapsucker",0.352437035265044,1.2856446450404,228
4050,"Pileated Woodpecker",0.177360535411965,1.13817699135722,546
4060,"Red-headed Woodpecker",-0.203888317876549,1.15088962522979,352
4090,"Red-bellied Woodpecker",0.185074542329842,1.42225985188162,686
4120,"(Yellow-shafted Flicker) Northern Flicker",-0.100520741516909,1.24140134798735,864
4130,"(Red-shafted Flicker) Northern Flicker",-0.0612831817777878,0.9527430922522,134
4230,"Chimney Swift",-0.219721752559462,1.49648120428962,772
4280,"Ruby-throated Hummingbird",0.0601949090350923,0.646953206427642,424
4430,"Scissor-tailed Flycatcher",0.175268901010134,1.1821362250345,118
4440,"Eastern Kingbird",-0.187538793462878,1.30610096404048,906
4470,"Western Kingbird",-0.0374438961275416,1.11146793936894,228
4520,"Great Crested Flycatcher",-0.191469351928997,1.67531316923663,848
4540,"Ash-throated Flycatcher",0.223333055891837,0.958867326086859,84
4560,"Eastern Phoebe",0.0172273703870029,1.57742118229551,820
4570,"Say's Phoebe",0.237533521813384,1.00594524371942,80
4590,"Olive-sided Flycatcher",-0.156494127165408,1.33436271072548,68
4610,"Eastern Wood-Pewee",-0.117059832533478,1.409575794701,808
4620,"Western Wood-Pewee",-0.290057174908948,1.36712036748922,128
4650,"Acadian Flycatcher",0.0861044492062719,1.37704232185906,294
4660,"Willow Flycatcher",-0.128523272891362,1.53213108544651,282
4661,"Alder Flycatcher",0.12891257088538,1.80780314785798,244
4670,"Least Flycatcher",-0.147107488550855,1.33116752811694,336
4740,"Horned Lark",-0.152117558366761,1.39448589893968,464
4750,"Black-billed Magpie",-0.00527935926175668,0.804975125754094,128
4770,"Blue Jay",0.0163370621385689,1.10964385202772,990
4780,"Steller's Jay",-0.000151154150476145,0.0513407650007129,72
4860,"Common Raven",0.11310319593166,1.42482384633872,340
4880,"American Crow",-0.0143516070327129,0.958604386773816,1122
4900,"Fish Crow",-0.0949794505589157,1.48895367223327,152
4930,"European Starling",-0.190674919274969,1.21443332392323,1118
4940,"Bobolink",-0.328318292366087,1.65965253171174,400
4950,"Brown-headed Cowbird",-0.133612939740443,1.33048375991067,1152
4970,"Yellow-headed Blackbird",-0.133999703398359,1.20772221488517,92
4980,"Red-winged Blackbird",-0.137861794539475,0.997466947329453,1160
5010,"Eastern Meadowlark",-0.28776503452308,1.1664746844172,750
5011,"Western Meadowlark",-0.247638117967715,0.994607078046514,294
5060,"Orchard Oriole",-0.0351948865606029,1.22332431042941,444
5070,"Baltimore Oriole",-0.148061157156557,1.503222407577,704
5080,"Bullock's Oriole",0.151643640627101,1.20375645713201,124
5100,"Brewer's Blackbird",-0.121117468730546,1.08292592079707,212
5110,"Common Grackle",-0.197803200824293,1.16429210330086,1018
5140,"Evening Grosbeak",-0.358551004111382,1.2062561351829,62
5170,"Purple Finch",-0.0586554982990568,1.01892110119926,250
5190,"House Finch",-0.00421443654640036,1.47183173550465,694
5290,"American Goldfinch",0.00925042405474844,1.18052478408856,964
5300,"Lesser Goldfinch",0.193537693014443,1.41400191966764,60
5330,"Pine Siskin",-0.790905793787811,1.68326828272257,86
5400,"Vesper Sparrow",-0.201145832109311,1.46230332884689,310
5420,"Savannah Sparrow",-0.309919736141705,1.82808841050074,414
5460,"Grasshopper Sparrow",-0.138061508604368,1.46012952586336,324
5520,"Lark Sparrow",0.281562058664935,1.36880044951724,202
5580,"White-throated Sparrow",-0.178829329963605,1.48875220481645,176
5600,"Chipping Sparrow",0.0668850558756284,1.18094319366924,980
5610,"Clay-colored Sparrow",-0.070820884372668,1.29289090968604,132
5630,"Field Sparrow",-0.136356380328587,1.486367697938,652
5670,"(Slate-colored Junco) Dark-eyed Junco",0.170427188428734,1.72529116719703,118
5671,"(Oregon Junco) Dark-eyed Junco",0.128634587726672,0.719377581825273,74
5780,"Cassin's Sparrow",-0.362940305628371,1.19941289624105,52
5810,"Song Sparrow",0.0779013098830902,0.811473893183265,846
5830,"Lincoln's Sparrow",-0.693678501137244,1.69062221806304,68
5840,"Swamp Sparrow",0.0372529701257505,1.24633333964738,238
5870,"Eastern Towhee",-0.039496177846325,1.24016627353541,584
5880,"Spotted Towhee",0.0704216162139757,1.09200804904067,110
5930,"Northern Cardinal",0.0538433516315063,1.04084320281902,868
5950,"Rose-breasted Grosbeak",-0.395577941232251,1.41018389343946,466
5960,"Black-headed Grosbeak",0.197359564889921,1.25758588566409,114
5970,"Blue Grosbeak",0.156524211551877,1.55361407044119,388
5980,"Indigo Bunting",-0.0416214133760415,1.15723714836409,846
5990,"Lazuli Bunting",0.322770090609707,1.54974755447946,82
6010,"Painted Bunting",0.0119332735183772,1.4341573440357,82
6040,"Dickcissel",0.0315487767394329,0.892263603385214,358
6070,"Western Tanager",0.016587904826817,1.34933589575063,104
6080,"Scarlet Tanager",-0.00330194421600475,1.16179370650379,486
