"focal_rte","Trophic.Group","excl_dir","dir_core","dir_diff"
2001,"herbivore",0.543088592006235,0.5796823,0.0365937079937649
2001,"granivore",0.589136330255846,0.5796823,-0.00945403025584624
2001,"insectivore",0.629046633281665,0.5796823,-0.0493643332816651
2001,"omnivore",0.580290639759442,0.5796823,-0.000608339759442411
2001,"nectarivore",0.580753857487037,0.5796823,-0.00107155748703658
2001,"insct/om",0.577379218934893,0.5796823,0.00230308106510679
2007,"herbivore",0.587264967647188,0.5995199,0.0122549323528116
2007,"omnivore",0.585740577335796,0.5995199,0.0137793226642042
2007,"granivore",0.615560169443904,0.5995199,-0.016040269443904
2007,"insectivore",0.619806288882883,0.5995199,-0.0202863888828831
2007,"nectarivore",0.600611136932264,0.5995199,-0.00109123693226376
2007,"insct/om",0.599615027941101,0.5995199,-9.51279411010031e-05
2010,"herbivore",0.546043850362425,0.560463,0.0144191496375751
2010,"omnivore",0.556799484951226,0.560463,0.00366351504877427
2010,"granivore",0.557218841138832,0.560463,0.00324415886116791
2010,"insectivore",0.64539620154562,0.560463,-0.08493320154562
2010,"nectarivore",0.560525202530432,0.560463,-6.22025304322094e-05
2010,"insct/om",0.543671329922308,0.560463,0.0167916700776918
2017,"herbivore",0.475437753572371,0.4842505,0.00881274642762897
2017,"granivore",0.498009227326521,0.4842505,-0.0137587273265207
2017,"insectivore",0.458004933769284,0.4842505,0.0262455662307159
2017,"omnivore",0.486972645890968,0.4842505,-0.0027221458909677
2017,"nectarivore",0.489224434608349,0.4842505,-0.00497393460834861
2017,"insct/om",0.482002527288302,0.4842505,0.00224797271169841
2019,"herbivore",0.539204152880775,0.574848,0.0356438471192254
2019,"granivore",0.580251230519167,0.574848,-0.0054032305191668
2019,"insectivore",0.630622029741109,0.574848,-0.0557740297411087
2019,"omnivore",0.575613953811994,0.574848,-0.000765953811993958
2019,"nectarivore",0.576430766534672,0.574848,-0.00158276653467215
2019,"insct/om",0.571517275213864,0.574848,0.00333072478613561
2020,"herbivore",0.577744208923398,0.6025268,0.0247825910766023
2020,"omnivore",0.599498342522703,0.6025268,0.0030284574772973
2020,"granivore",0.605350479714173,0.6025268,-0.00282367971417286
2020,"insectivore",0.653227839225949,0.6025268,-0.050701039225949
2020,"nectarivore",0.602965821156009,0.6025268,-0.000439021156009356
2020,"insct/om",0.600815340062439,0.6025268,0.00171145993756139
2022,"herbivore",0.574516512309277,0.5990036,0.0244870876907229
2022,"omnivore",0.597827212133528,0.5990036,0.00117638786647156
2022,"granivore",0.599879647261896,0.5990036,-0.000876047261895829
2022,"insectivore",0.645541683361507,0.5990036,-0.0465380833615072
2022,"nectarivore",0.599322463802528,0.5990036,-0.000318863802527658
2022,"insct/om",0.599127055968218,0.5990036,-0.000123455968218167
2025,"herbivore",0.587720218983984,0.6078314,0.0201111810160158
2025,"granivore",0.614111903255878,0.6078314,-0.00628050325587848
2025,"insectivore",0.651551477428716,0.6078314,-0.0437200774287156
2025,"omnivore",0.605330390528481,0.6078314,0.0025010094715191
2025,"nectarivore",0.608112411710585,0.6078314,-0.000281011710585255
2025,"insct/om",0.601363294402709,0.6078314,0.00646810559729072
2029,"herbivore",0.566775876614458,0.5774505,0.0106746233855416
2029,"omnivore",0.573089714764409,0.5774505,0.00436078523559069
2029,"granivore",0.588651509717668,0.5774505,-0.0112010097176676
2029,"insectivore",0.619609039790198,0.5774505,-0.0421585397901979
2029,"nectarivore",0.577722022742541,0.5774505,-0.000271522742540942
2029,"insct/om",0.559308538507563,0.5774505,0.0181419614924365
2035,"herbivore",0.578353415721721,0.5985589,0.0202054842782791
2035,"granivore",0.606127628731766,0.5985589,-0.00756872873176606
2035,"insectivore",0.649745743499295,0.5985589,-0.0511868434992954
2035,"omnivore",0.593533571416643,0.5985589,0.00502532858335714
2035,"insct/om",0.590216741264734,0.5985589,0.00834215873526567
2035,"nectarivore",0.59893484987697,0.5985589,-0.000375949876969983
2036,"herbivore",0.577170077301248,0.6012256,0.0240555226987518
2036,"omnivore",0.599049595151765,0.6012256,0.00217600484823488
2036,"granivore",0.603757001046553,0.6012256,-0.00253140104655258
2036,"insectivore",0.650994721816768,0.6012256,-0.0497691218167676
2036,"nectarivore",0.601535707718653,0.6012256,-0.000310107718652697
2036,"insct/om",0.599099507222284,0.6012256,0.00212609277771592
2043,"herbivore",0.576609476788306,0.5985387,0.0219292232116942
2043,"granivore",0.601450939038408,0.5985387,-0.00291223903840754
2043,"insectivore",0.645284852963897,0.5985387,-0.0467461529638966
